1595 1595 1595 1595 1595 1595 1595 1595 1595 1595 1595 1595 1595 1595 1544 1595 1595 1595 1544 1544 1544 1595 1594 1594
1648 1648 1648 1648 1648 1648 1647 1648 1648 1647 1647 1647 1647 1647 1647 1697 1697 1697 1648 1648 1697 1648 1698 1698
1697 1697 1697 1697 1697 1697 1547 1698 1548 1599 1549 1547 1547 1547 1547 1547 1547 1597 1597 1647 1697 1697 1647 1697
1799 1799 1799 1799 1799 1799 1799 1799 1799 1848 1797 1849 1848 1849 1849 1799 1799 1847 1797 1848 1849 1849 1849 1849
954 954 954 954 954 954 954 1693 1474 1847 1847 1847 1847 1847 1847 1847 1897 1847 1897 1897 1897 1577 1845 1156
1647 1647 1647 1647 1647 1647 1647 1647 1697 1647 1647 1647 1697 1948 2047 1849 1849 1849 1849 1849 1647 1695 1647 1795
393 393 393 587 938 1437 1286 1544 1544 1544 1544 1544 1444 1445 1547 1446 1544 1493 1544 1136 540 837 1136 888
1547 1547 1547 1547 1547 1547 1547 1547 1547 1547 1547 1547 1547 1547 1445 1445 1547 1547 1445 1497 1497 1547 1445 1496
2491 2491 2491 2491 2491 2491 2491 2491 2491 2491 2491 2491 2491 2491 2491 2491 2292 1996 1995 1996 1996 2043 2093 2491
2047 2047 2047 2047 2047 2047 2047 2047 2047 1794 1396 1445 1997 1996 1199 1199 1199 1199 1199 1445 1347 1199 1946 1493
1297 1297 1745 1544 1796 1846 1846 1846 1846 1846 2044 2194 2244 2244 2044 2194 1895 2245 2245 2245 2245 1993 1346 1543
1547 1547 1547 1547 1547 1547 1547 1548 1549 1599 1548 1548 1549 1549 1547 1599 1599 1599 1547 1547 1549 1548 1548 1599
1797 1797 1797 1898 1797 1797 1898 1797 1797 1847 1898 1898 1898 1898 1898 1847 1847 1847 1847 1847 1847 1847 1797 1847
1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1198 1446 1645 1396 1396 1346 1297 1199 1199 1443 1198
1946 1946 1946 1946 1946 1946 1946 1946 1946 1946 1946 1946 1946 1946 1199 1199 1445 1844 1844 1593 1946 1946 1946 1946
1949 1949 1949 1948 1948 1948 1948 1897 1947 1947 1947 1947 1947 1897 1947 1947 1897 1897 1897 1947 1947 1948 1948 1949
1697 1697 1697 1697 1697 1697 1697 1697 1697 1749 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1699 1898 1799
1847 1847 1847 1847 1847 1847 1847 1847 1897 1897 1897 1897 1897 1897 1897 1897 1897 1897 1897 1847 1847 1847 1847 1847
1648 1648 1648 1648 1648 1648 1648 1648 1648 1648 1648 1749 1849 1797 1649 1799 1649 1648 1749 1749 1849 1749 1848 1749
1846 1846 1846 1846 1846 1846 1846 1846 1846 1846 1845 1945 1945 1895 1945 1945 1945 1996 1996 1996 1996 1946 1846 1996
494 494 494 494 494 494 1037 1590 1186 1595 1595 1494 1444 1443 1594 1494 1594 1445 1595 1595 1547 943 1396 893
92 92 92 92 92 92 543 92 442 92 191 91 392 291 543 543 543 545 545 196 145 146 545 246
1498 1498 1498 1498 1498 1498 1595 1547 1497 1547 1545 1595 1595 1595 1594 1595 1544 1544 1594 1544 1497 1544 1496 1446
1498 1498 1498 1498 1498 1497 1547 1547 1547 1547 1547 1547 1547 1548 1548 1597 1548 1597 1597 1597 1597 1597 1597 1598
1945 1945 1945 1945 1945 1945 1945 1946 1945 1946 1996 1996 1996 1996 1946 1896 1896 1896 1896 1896 1896 1896 1946 1945
1646 1646 1646 1646 1646 1646 1646 1546 1596 1596 1596 1545 1547 1547 1547 1597 1597 1646 1597 1646 1597 1647 1597 1647
1947 1947 1947 1947 1946 1896 1896 1896 1896 1896 1896 1896 1896 1896 1896 1896 1946 1946 1897 1897 1897 1947 1947 1947
1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1899 1797 1645 1647 1647 1647 1848
1498 1498 1498 1498 1498 1497 1547 1497 1498 1547 1547 1547 1547 1547 1597 1597 1597 1597 1597 1597 1497 1497 1497 1497
1248 1646 1247 1247 1647 1647 1647 1647 1647 1647 1647 1647 1647 2047 1946 2098 2098 2098 2049 1699 1547 1547 1447 1297
1699 1699 1699 1699 1699 1699 1699 1699 1699 1647 1648 1699 1647 1649 1647 1647 1647 1647 1647 1647 1647 1647 1648 1649
1149 1149 1149 1297 1547 1547 1547 1547 1297 1297 1397 1547 1497 1497 1497 1497 1547 1547 1497 1547 1547 1397 1198 1347
1897 1897 1897 1897 1897 1897 1897 1897 1897 1898 1898 1897 1897 1948 1898 1898 1898 1898 1948 1948 1898 1897 1897 1898
1645 1645 1645 1645 1645 1645 1645 1645 1645 1443 1297 1645 1644 1443 1493 1494 1493 1446 1297 1347 1493 1297 1644 1445
2395 2395 2395 2395 2395 2395 2395 2044 1945 1995 2194 2395 2044 2294 2194 2294 2294 1894 1894 2244 1945 2244 2395 2194
1497 1497 1497 1497 1498 1497 1497 1498 1498 1547 1497 1595 1544 1595 1594 1544 1544 1544 1544 1544 1544 1544 1493 1443
495 495 495 495 495 495 495 495 495 495 1587 587 1087 787 2196 2045 2196 2045 1895 1795 1487 887 1644 1795
