,id,gps2id,start_hour,duration
0,1,1595,0,13
1,1,1597,15,1
2,2,1648,0,6
3,2,1897,12,1
4,2,1899,15,1
5,2,1849,19,1
6,3,1697,0,4
7,3,1647,7,3
8,3,1897,13,1
9,3,1948,16,2
10,3,1898,18,3
11,4,1799,0,9
12,4,1847,13,2
13,4,1897,19,4
14,5,954,4,3
15,5,1849,13,2
16,5,1897,18,2
17,5,1849,20,2
18,6,1647,0,7
19,6,1547,12,4
20,7,393,0,3
21,7,491,6,2
22,7,545,15,2
23,7,393,19,2
24,8,1547,0,13
25,8,1445,15,2
26,9,2491,5,11
27,9,547,17,4
28,10,2047,0,9
29,10,1799,20,1
30,11,1297,0,2
31,11,1846,5,6
32,11,547,19,2
33,12,1547,5,2
34,12,1599,13,5
35,13,1797,0,3
36,13,1547,4,2
37,13,1297,14,9
38,14,1647,0,13
39,14,1597,14,1
40,14,1647,16,3
41,15,1946,0,14
42,15,1897,18,2
43,16,1949,0,3
44,16,1547,5,2
45,16,1849,10,7
46,17,1697,2,6
47,17,1897,10,2
48,17,1946,15,2
49,17,1199,19,1
50,18,1847,0,8
51,18,1899,12,2
52,18,1799,14,3
53,18,1899,20,3
54,19,1648,0,11
55,19,1647,17,1
56,20,1846,9,1
57,20,1894,11,11
58,21,494,1,4
59,21,543,14,4
60,22,92,0,6
61,22,1544,8,1
62,22,1595,14,6
63,23,1498,0,6
64,23,1547,8,2
65,23,1498,16,7
66,24,1498,0,4
67,24,1595,9,4
68,24,1544,15,1
69,24,1595,18,2
70,24,1544,20,1
71,25,1945,1,5
72,25,1896,12,2
73,25,1996,15,3
74,25,1846,19,3
75,26,1646,0,7
76,26,1547,8,8
77,27,1947,1,3
78,27,1897,10,12
79,28,1899,0,18
80,29,1498,1,4
81,29,1847,7,2
82,29,1849,14,2
83,29,1897,18,1
84,29,1849,20,2
85,30,1248,0,1
86,30,543,7,5
87,30,843,16,3
88,31,1699,0,8
89,31,1799,14,2
90,31,1849,19,4
91,32,1149,1,2
92,32,1547,6,2
93,32,1597,12,1
94,32,1547,14,2
95,33,1897,0,9
96,33,1948,13,2
97,33,1898,18,3
98,34,1645,0,9
99,34,491,11,2
100,34,543,17,2
101,34,391,19,1
102,35,2395,0,7
103,35,1846,17,2
104,35,1996,19,2
105,36,1497,1,2
106,36,1498,8,11
107,37,495,0,10
108,37,1897,17,1
109,37,1847,20,1
110,38,1949,0,13
111,38,1797,16,1
112,38,1647,18,2
113,39,1749,0,11
114,39,1897,19,2
115,40,1898,3,7
116,40,1897,12,3
117,40,1899,17,3
118,41,1896,0,6
119,41,1846,7,1
120,41,1945,12,11
121,42,1395,0,3
122,42,1595,10,11
123,43,1945,0,2
124,43,1894,13,2
125,44,1597,7,4
126,44,1547,18,2
127,45,2195,10,1
128,45,1846,15,1
129,45,2245,18,1
130,46,491,1,5
131,46,1544,18,2
132,47,1149,0,2
133,47,1498,8,1
134,47,1547,12,1
135,47,1498,15,1
136,47,1595,16,2
137,47,1547,18,2
138,48,2297,0,6
139,48,491,8,3
140,48,393,12,1
141,48,543,19,4
142,49,1596,0,7
143,49,1647,12,3
144,49,1697,19,1
145,50,1849,0,12
146,50,1797,18,1
147,51,2098,0,10
148,51,2047,18,3
149,52,1595,0,14
150,52,1445,20,1
151,53,1797,0,1
152,53,1898,7,1
153,53,1948,11,2
154,53,1898,19,2
155,54,1996,0,6
156,54,1896,9,1
157,54,1996,12,1
158,54,1946,14,1
159,54,1846,17,2
160,55,2098,0,1
161,55,1647,7,5
162,55,1547,17,3
163,56,2094,2,3
164,56,1846,14,9
165,57,1795,0,9
166,57,1498,13,6
167,57,1547,20,2
168,58,1297,0,3
169,58,1996,4,7
170,58,547,17,2
171,58,1548,19,1
172,58,1795,20,1
173,59,1797,0,7
174,59,1847,12,5
175,59,1899,19,1
176,60,1898,2,3
177,60,1948,10,1
178,60,1898,12,2
179,60,1948,17,5
180,61,1947,2,6
181,61,1897,13,3
182,61,1948,18,1
183,62,1547,2,2
184,62,1846,11,1
185,62,1894,20,2
186,63,1547,0,14
187,63,1548,19,1
188,64,1795,0,7
189,64,1846,11,1
190,64,1894,17,5
191,65,1547,0,12
192,65,1597,20,3
193,66,1899,1,8
194,66,1897,12,2
195,66,1847,15,7
196,67,2246,2,2
197,67,1597,4,5
198,67,1547,13,2
199,67,1595,19,4
200,68,1149,0,5
201,68,1498,8,9
202,68,1849,20,2
203,69,1749,0,8
204,69,1647,10,1
205,69,1849,15,6
206,70,491,0,1
207,70,393,5,2
208,70,491,13,2
209,70,545,19,1
210,70,543,20,1
211,71,1698,0,8
212,71,1898,11,1
213,71,1847,12,1
214,71,1897,15,2
215,72,1697,0,1
216,72,1647,4,2
217,72,2097,11,10
218,73,446,2,9
219,73,547,15,1
220,73,2196,19,2
221,74,2048,0,9
222,74,1647,16,6
223,75,1948,1,2
224,75,1898,14,1
225,75,1948,17,4
226,76,1898,0,10
227,76,1948,17,5
228,77,1448,0,10
229,77,1445,18,2
230,78,1897,1,7
231,78,1899,14,2
232,78,1897,17,1
233,78,1947,19,1
234,79,1647,0,5
235,79,1498,7,4
236,79,1797,13,2
237,79,1597,16,2
238,79,1647,18,1
239,80,2146,0,2
240,80,2197,6,5
241,80,491,16,1
242,80,393,19,1
243,81,2196,0,9
244,81,1846,17,2
245,82,1899,0,2
246,82,1948,5,15
247,83,1948,0,4
248,83,1897,11,8
249,83,1948,20,1
250,84,1945,0,2
251,84,1846,8,1
252,84,1996,10,2
253,84,1846,19,3
254,85,1698,0,3
255,85,1897,7,2
256,85,1948,9,2
257,85,1647,18,4
258,86,1848,0,10
259,86,1797,17,1
260,87,1849,0,1
261,87,1898,5,5
262,87,1948,13,1
263,87,1898,18,4
264,88,1849,0,6
265,88,1897,8,8
266,89,843,2,3
267,89,393,12,2
268,89,545,14,5
269,89,393,19,2
270,90,1589,0,7
271,90,1896,11,5
272,90,1846,20,2
273,91,2046,0,13
274,91,1946,19,1
275,92,393,0,7
276,92,491,15,2
277,92,843,19,2
278,93,1648,2,8
279,93,1647,15,2
280,93,1797,19,2
281,94,1648,0,7
282,94,1897,7,2
283,94,1947,14,9
284,95,1646,0,4
285,95,1647,11,6
286,96,491,1,10
287,96,843,14,1
288,96,545,15,3
289,97,1476,0,7
290,97,1498,13,1
291,97,1547,16,2
292,97,1548,20,2
293,98,1596,6,1
294,98,1946,16,2
295,98,1948,19,4
296,99,1847,0,8
297,99,1897,14,2
298,99,1847,17,1
299,99,1548,18,1
300,100,1843,1,7
301,100,1498,11,2
302,100,1547,20,1
303,101,1797,0,7
304,101,1647,10,2
305,101,1797,14,2
306,101,1647,18,4
307,102,1847,0,2
308,102,1547,6,15
309,103,2147,0,7
310,103,2197,13,2
311,103,1647,15,1
312,104,1599,0,8
313,104,1498,10,3
314,104,1548,14,5
315,104,1498,20,1
316,105,1597,0,2
317,105,1547,4,2
318,105,1297,7,2
319,105,1498,12,2
320,105,1597,17,2
321,105,1498,20,3
322,106,1898,7,6
323,106,1897,14,5
324,106,1946,19,2
325,107,2197,0,5
326,107,1647,6,5
327,107,2097,16,5
328,108,1393,0,7
329,108,1297,14,1
330,108,1547,20,3
331,109,1797,1,2
332,109,1898,6,4
333,109,1948,12,2
334,109,1898,17,4
335,110,998,0,7
336,110,1595,12,1
337,110,1445,19,3
338,111,1647,0,6
339,111,1897,10,2
340,111,1947,12,4
341,111,1897,18,4
342,112,1448,0,7
343,112,1547,14,5
344,112,1498,20,3
345,113,1897,2,11
346,113,1948,18,2
347,114,1847,0,7
348,114,1898,13,1
349,114,1948,15,1
350,114,1898,17,2
351,114,1948,19,1
352,115,1949,0,1
353,115,1498,7,8
354,115,1847,19,3
355,116,1843,0,6
356,116,1846,16,2
357,116,2245,19,3
358,117,2293,0,4
359,117,1846,6,6
360,117,1894,14,1
361,117,1846,16,1
362,117,1894,20,2
363,118,1597,0,14
364,118,1797,15,2
365,118,1547,20,2
366,119,1497,0,11
367,119,1547,17,1
368,119,1548,19,4
369,120,1498,0,8
370,120,1797,12,3
371,120,1847,18,1
372,120,1547,19,1
373,121,2297,0,10
374,121,1846,18,5
375,122,2199,3,9
376,122,1498,18,1
377,123,1947,6,3
378,123,1948,16,2
379,123,1898,18,2
380,124,491,8,4
381,124,393,14,3
382,125,1944,1,5
383,125,1996,8,1
384,125,1846,15,1
385,125,1944,19,2
386,126,1546,0,10
387,126,1547,13,1
388,126,1498,17,1
389,126,1595,19,2
390,127,543,0,9
391,127,491,13,2
392,127,843,17,2
393,128,1378,0,3
394,128,543,7,1
395,128,545,11,2
396,128,393,14,4
397,129,1847,0,7
398,129,1647,11,2
399,129,1847,17,5
400,130,294,0,6
401,130,1297,13,2
402,130,1498,17,4
