391 1495 1549 1645 1248 1797 1645 1748 1791 1899 1897 1949 1698 1544 1595 1898 2146 1899 1199 1894 1699 1897 1897 1997 
2047 1697 1447 1947 1846 2149 1647 1946 1498 1548 2197 1949 1791 1846 2197 1947 2097 1894 2146 1648 1897 1795 792 1847 
1445 843 1476 2079 1897 1948 1946 1996 2196 1846 543 1544 1698 1796 1897 1595 1589 1749 1498 1796 2147 1548 1996 599 
1498 1896 1595 1897 1746 1595 2144 1996 1847 1797 1498 547 1547 1547 843 2247 547 2097 1898 1730 446 1847 2147 1498 
2146 1948 1949 1797 92 1847 1799 1848 1647 1998 1747 1697 1297 1146 1946 1996 1499 1946 391 1597 406 1544 1297 1697 
1798 1547 2096 1499 1795 1949 1846 543 1149 1047 1646 1849 543 2098 2097 491 1848 1897 1547 1949 1847 1199 1944 1791 
1946 1599 2049 1776 1498 495 1647 2439 1847 1648 2098 1945 1898 1548 1645 1897 2346 1199 1795 1547 1847 1747 1941 1899 
1897 1544 1547 1791 2048 694 1047 1148 1650 1647 1746 1795 448 547 1791 446 1498 2197 1547 1847 1595 1446 1846 2245 
1547 543 2196 1798 1400 1644 1748 1899 1948 1946 1899 1597 93 1847 440 1596 1445 1347 1697 1847 1795 1698 1947 1547 
1698 1448 2047 1945 1846 1896 1698 1547 1646 1647 1847 1597 1898 1647 1896 1898 1975 1797 696 1647 1296 1597 1248 1547 
2245 2297 1995 2198 1297 1849 1697 1498 2491 1697 446 1945 1276 1148 1497 1897 1797 1998 1898 1597 394 2196 1797 491 
434 1149 2428 1899 1944 1896 1847 1946 2391 1846 1898 1539 1597 2097 2297 544 2046 1948 1647 1798 1797 1792 1996 1645 
1896 1749 1944 2091 543 1897 1848 1896 1644 491 1797 1849 1390 1896 2147 1848 1645 1297 1596 2100 1942 118 1748 823 
1776 491 2002 2042 1847 1897 1596 1946 1898 1948 1897 1946 2147 543 491 1999 1589 1795 1949 2297 1747 1847 1698 2340 
1748 92 1897 1897 2098 1798 1647 1498 1898 1898 2098 1595 1897 1547 1843 1599 1894 1948 1899 1847 2197 1849 2149 496 
1599 2196 2198 393 1847 1597 2196 2149 1646 1843 1297 1545 2046 1595 1947 1948 738 2196 1142 1697 1847 1995 1948 1547 
