,id,gps2id,start_hour,duration
0,1,1597,7,2
0,1,1390,17,2
0,2,1799,0,13
0,4,1948,0,11
0,5,1747,7,4
0,5,1748,12,2
0,6,1846,0,8
0,6,1846,10,9
0,7,1797,1,2
0,7,1847,5,3
0,7,1897,10,4
0,7,1899,15,2
0,8,1890,0,9
0,8,1589,17,5
0,9,1799,0,4
0,10,1698,0,2
0,10,1548,3,3
0,10,1544,8,3
0,11,1647,0,15
0,12,1846,0,5
0,12,1848,6,3
0,13,2199,0,3
0,13,2195,6,2
0,13,2199,9,2
0,14,1897,1,8
0,14,1847,11,6
0,14,1648,19,3
0,15,1647,1,5
0,17,1498,0,7
0,18,1847,0,6
0,18,1946,7,2
0,18,1948,17,2
0,19,1498,0,17
0,19,1598,18,4
0,20,1747,4,9
0,21,1647,16,2
0,22,2047,0,5
0,22,1998,10,2
0,23,1846,2,2
0,23,1945,10,2
0,23,1846,15,2
0,23,1896,18,2
0,24,1548,2,3
0,24,1699,12,3
0,25,1546,11,2
0,26,2097,0,5
0,26,2097,7,2
0,27,2196,0,6
0,27,2097,10,4
0,27,2097,16,3
0,28,2492,0,2
0,28,2492,4,2
0,28,2491,7,3
0,28,2491,17,2
0,29,1799,3,12
0,29,1849,18,2
0,30,2246,2,3
0,30,2245,8,6
0,30,2245,18,2
0,31,1898,14,6
0,32,1597,0,14
0,33,2099,18,4
0,34,1297,3,2
0,34,1899,12,4
0,35,2097,0,10
0,36,1548,0,5
0,37,1946,1,3
0,38,1848,4,2
0,38,1997,9,2
0,38,1945,14,4
0,39,2047,7,4
0,40,1298,1,4
0,40,1297,7,6
0,40,1498,15,2
0,41,1998,0,3
0,41,1944,15,2
0,42,1698,2,8
0,42,1647,13,6
0,43,1277,16,2
0,44,1647,0,2
0,44,1597,3,2
0,45,1848,1,7
0,45,1846,14,4
0,46,1898,0,12
0,46,1948,13,7
0,47,1148,9,2
0,48,1645,0,8
0,48,1148,9,6
0,48,1148,18,3
0,49,2197,0,10
0,49,2198,17,3
0,50,1897,0,4
0,50,1847,6,9
0,50,1847,17,2
0,51,1133,4,4
0,51,1133,14,4
0,52,2288,2,3
0,52,2340,7,10
0,53,1797,6,6
0,53,1899,16,3
0,54,1947,2,3
0,54,1897,9,9
0,55,393,0,9
0,55,393,13,2
0,56,843,0,11
0,56,1445,16,4
0,57,1647,0,13
0,58,2097,0,2
0,58,2097,5,9
0,58,2098,15,2
0,58,2097,18,2
0,59,1496,0,5
0,60,1597,0,9
0,60,1647,12,5
0,60,1647,19,2
0,61,1698,0,19
0,62,2491,0,18
0,63,1996,0,6
0,64,2491,9,4
0,66,1948,7,4
0,66,1948,16,2
0,68,1896,1,6
0,68,1896,9,4
0,68,1896,15,3
0,69,1447,4,3
0,69,1447,16,4
0,70,1249,1,13
0,71,1948,2,5
0,71,1948,13,2
0,72,1548,0,21
0,73,1896,0,6
0,73,1999,7,10
0,74,1799,1,3
0,74,1797,5,5
0,74,2099,20,2
0,75,1498,5,2
0,75,1498,9,11
0,76,1897,2,2
0,76,1847,11,4
0,76,1898,18,2
0,77,1544,0,7
0,77,1595,9,2
0,77,1199,17,2
0,78,1798,4,6
0,78,1897,16,3
0,79,1846,6,3
0,79,1846,11,2
0,79,1846,16,5
0,81,1595,0,20
0,82,1595,0,4
0,82,998,9,4
0,83,1599,0,3
0,83,1595,4,8
0,83,1595,15,3
0,84,1548,0,5
0,84,1548,8,8
0,85,1849,8,6
0,86,1645,1,3
0,87,1946,0,4
0,87,1945,6,4
0,88,1946,0,12
0,88,1896,16,6
0,89,446,11,7
0,90,1848,1,6
0,90,1598,8,3
0,90,1648,12,2
0,90,1598,15,5
0,91,1595,0,3
0,91,1593,6,2
0,91,1597,14,3
0,92,1749,1,2
0,92,1699,4,4
0,93,1647,0,12
0,94,2147,1,2
0,94,2097,4,3
0,94,2098,17,2
0,96,1199,3,5
0,97,1698,0,11
0,97,1699,15,5
0,98,1697,0,4
0,99,1597,0,2
0,99,1597,4,5
0,99,1598,11,3
0,101,1248,0,6
0,101,1148,7,4
0,101,1149,20,2
0,102,1496,7,5
0,102,1595,13,6
0,103,2046,0,4
0,103,1749,14,7
0,104,1847,0,7
0,104,1847,9,7
0,104,1547,19,2
0,105,1544,0,6
0,105,1897,13,5
0,106,1498,1,2
0,106,1597,14,5
0,107,1647,0,15
0,107,1597,16,4
0,108,2246,13,3
0,110,1749,3,3
0,110,1749,8,2
0,110,1599,13,4
0,111,2196,0,3
0,111,2196,6,11
0,112,1898,0,2
0,112,1996,15,5
0,113,1847,0,3
0,113,1797,4,12
0,113,1949,18,2
0,114,1698,6,3
0,114,1697,10,11
0,115,1597,0,2
0,115,1748,4,4
0,115,543,13,2
0,115,491,17,2
0,116,1996,5,3
0,116,545,13,8
0,117,1597,8,2
0,118,1898,0,2
0,118,1897,6,6
0,119,1896,7,4
0,119,1896,13,5
0,120,1547,0,7
0,120,1498,8,4
0,120,1547,13,7
0,121,1890,3,17
0,122,393,1,3
0,123,1947,3,2
0,123,1749,10,2
0,124,1498,0,5
0,124,1497,11,5
0,124,1497,19,3
0,125,2199,0,13
0,125,2197,19,2
0,126,1946,0,7
0,126,1846,13,4
0,127,2097,1,4
0,127,2448,8,8
0,128,2097,0,13
0,128,2099,14,4
0,128,2097,20,2
0,129,1847,16,4
0,130,2096,0,7
0,132,1799,0,5
0,133,1846,4,4
0,134,491,1,3
0,134,543,16,3
0,135,2046,0,2
0,135,1897,3,2
0,135,2047,6,11
0,137,2147,2,5
0,137,2098,9,10
0,138,1697,0,7
0,139,1548,0,8
0,139,1548,10,6
0,140,1544,1,2
0,140,1543,4,2
0,140,1199,13,2
0,140,1896,16,3
0,141,1791,0,3
0,141,1996,11,2
0,142,1547,1,4
0,142,1498,6,2
0,143,393,0,13
0,144,1848,0,5
0,144,1647,7,7
0,145,1898,1,5
0,146,543,5,2
0,146,491,8,2
0,146,491,12,2
0,147,1948,2,4
0,147,2049,9,3
0,148,1944,2,2
0,148,1944,8,5
0,148,1944,15,4
0,149,1393,2,2
0,149,1290,5,8
0,150,1597,1,5
0,150,1647,8,6
0,151,1948,0,3
0,151,1948,7,4
0,151,1948,18,3
0,152,1997,0,2
0,152,1997,4,3
0,152,1946,10,2
0,152,1945,16,2
0,153,1849,2,3
0,153,1899,6,9
0,154,1946,4,3
0,154,1999,8,3
0,154,1946,15,4
0,155,1249,3,2
0,155,1249,8,6
0,155,1599,15,6
0,156,1749,2,2
0,157,1989,0,2
0,157,1890,4,4
0,157,1890,10,5
0,157,1890,17,2
0,158,2047,6,3
0,159,1799,0,3
0,159,1799,17,2
0,160,446,0,15
0,161,2196,0,3
0,161,2293,7,2
0,163,2147,0,8
0,163,2097,9,3
0,163,2098,16,3
0,164,446,2,4
0,164,446,8,3
0,165,446,0,2
0,165,446,6,12
0,166,2097,0,10
0,167,393,3,6
0,168,1149,2,3
0,168,1547,15,3
0,169,2197,0,2
0,169,2198,6,6
0,170,1948,3,2
0,171,1799,4,2
0,171,1647,11,3
0,171,1647,16,2
0,171,1647,20,2
0,172,2049,0,11
0,172,2048,17,3
0,173,1848,0,3
0,173,1847,10,3
0,173,1847,16,3
0,174,1945,2,5
0,174,1896,9,4
0,174,1896,15,4
0,175,491,7,6
0,176,998,12,3
0,177,1547,0,8
0,177,1547,12,9
0,178,1597,3,2
0,178,1699,7,9
0,178,1546,18,2
0,179,1795,0,2
0,179,1897,5,2
0,180,1997,6,3
0,181,446,8,6
0,181,446,16,2
0,182,2097,0,4
0,182,1849,6,16
0,184,1297,2,13
0,185,1498,2,3
0,185,1647,7,2
0,185,1897,11,2
0,186,2248,5,2
0,186,2197,14,3
0,187,2097,0,12
0,187,2099,19,3
0,188,1850,1,4
0,188,1944,15,2
0,189,2245,5,7
0,190,1697,0,2
0,190,1298,8,2
0,191,1795,8,6
0,192,1899,0,2
0,192,1899,6,3
0,193,1898,0,13
0,193,2047,14,2
0,194,1589,0,12
0,194,1791,13,2
0,194,1791,17,3
0,195,1843,0,5
0,195,1843,7,8
0,195,1846,17,2
0,196,2097,2,2
0,196,2097,15,7
0,197,1997,7,2
0,197,1795,10,6
0,197,1795,18,2
0,198,2195,19,3
0,199,2297,0,7
0,199,2197,9,6
0,200,2492,0,5
0,200,2491,6,2
0,200,2491,10,8
0,201,1547,0,15
0,201,1598,18,3
0,202,1647,0,14
0,202,2196,17,5
0,203,1697,0,7
0,203,1546,12,4
0,204,1947,1,2
0,204,1947,6,3
0,204,1947,19,3
0,205,1795,0,14
0,206,1949,5,2
0,206,2147,10,5
0,206,2098,16,3
0,207,1896,0,2
0,207,1897,5,10
0,208,1647,5,5
0,208,1699,11,6
0,208,1699,20,2
0,209,2146,11,3
0,210,1795,2,2
0,210,1797,12,9
0,211,1547,2,18
0,212,1599,1,2
0,212,1597,5,7
0,213,1897,1,8
0,214,2245,17,5
0,215,1497,0,2
0,215,1498,3,5
0,216,1544,12,3
0,217,1847,0,2
0,217,1849,3,2
0,217,1894,9,2
0,217,1846,15,3
0,218,1698,1,2
0,218,2149,15,3
0,219,1648,9,5
0,220,1498,0,16
0,220,1598,17,4
0,221,1498,0,5
0,221,2196,14,2
0,221,2245,19,2
0,222,1547,0,3
0,223,1698,0,5
0,223,1698,9,8
0,224,545,7,6
0,224,545,18,3
0,225,545,5,14
0,226,2097,0,9
0,228,1547,3,8
0,228,1546,14,3
0,229,1548,0,5
0,229,1498,6,3
0,229,1548,13,2
0,230,1799,1,2
0,230,1849,4,2
0,230,1846,7,4
0,230,1849,15,7
0,231,1647,0,4
0,231,1645,7,2
0,231,1595,14,3
0,231,1595,19,2
0,232,488,2,2
0,232,491,15,4
0,233,1849,0,2
0,233,1849,4,2
0,233,2146,13,2
0,234,1148,1,17
0,235,1547,4,2
0,235,1797,10,7
0,235,1698,19,3
0,236,1395,5,2
0,236,1595,19,3
0,238,1846,1,5
0,238,1996,7,3
0,238,1997,15,4
0,239,2048,1,4
0,239,2046,11,2
0,239,1944,18,3
0,240,495,10,8
0,240,391,19,2
0,241,1597,0,5
0,241,1595,9,2
