,id,gps2id,start_hour,duration
0,1,1556,0,7
1,1,917,9,6
2,1,1510,18,1
3,1,1508,19,1
4,2,1511,14,2
5,2,1667,19,3
6,3,1814,0,7
7,3,1763,11,3
8,3,1815,17,2
9,4,1510,19,1
10,5,1508,0,8
11,5,367,10,1
12,5,770,13,1
13,5,1555,17,2
14,6,1511,4,12
15,6,1667,19,2
16,7,1465,18,2
17,7,1510,20,1
18,8,1513,0,7
19,8,1715,7,2
20,8,1765,9,5
21,9,1765,3,3
22,9,1715,11,2
23,9,1765,15,2
24,10,1463,2,2
25,10,1218,4,10
26,10,917,16,1
27,10,1217,19,2
28,12,1667,14,1
29,12,1715,17,1
30,12,1667,20,2
31,13,1555,2,9
32,13,1510,14,1
33,13,1557,18,1
34,13,1507,20,2
35,14,1557,1,1
36,14,1765,4,12
37,15,1507,1,5
38,15,1558,8,3
39,15,1508,12,1
40,15,1510,16,3
41,16,2316,7,1
42,16,1511,11,2
43,16,1510,18,5
44,17,1956,11,4
45,17,1510,16,1
46,17,1511,19,3
47,18,1618,1,6
48,18,1667,10,2
49,18,1619,15,1
50,18,1567,20,2
51,19,1319,0,5
52,19,1559,6,4
53,19,1558,12,3
54,19,1609,17,2
55,19,1510,19,2
56,20,1461,20,1
57,21,1504,14,2
58,21,1510,19,3
59,22,2057,8,1
60,22,1763,18,5
61,23,1956,13,2
62,23,1510,19,1
63,24,1217,4,17
64,25,369,14,1
65,25,1605,17,2
66,25,1555,19,1
67,26,1558,13,2
68,26,1510,16,1
69,26,1461,18,1
70,27,1217,17,1
71,28,917,13,2
72,28,1510,17,1
73,29,1609,0,5
74,29,1558,13,10
75,30,1567,0,7
76,30,1510,8,1
77,30,367,11,2
78,30,1510,16,1
79,30,1462,17,2
80,31,1815,0,13
81,31,1763,14,2
82,32,1763,16,1
83,32,1815,18,2
84,32,1763,20,3
85,33,1510,1,4
86,33,1008,6,4
87,33,770,12,5
88,34,1956,16,2
89,34,1763,20,1
90,35,1559,0,7
91,35,1558,13,2
92,35,1510,18,1
93,36,869,15,1
94,36,1461,20,1
95,37,1815,14,2
96,37,1763,16,1
97,38,1763,2,4
98,38,1815,11,1
99,38,1763,14,2
100,38,1765,16,3
101,38,1763,19,2
102,39,917,1,3
103,39,1008,8,2
104,39,917,14,2
105,39,1218,17,4
106,40,1763,13,5
107,41,1419,0,5
108,41,1510,7,10
109,41,1561,19,2
110,42,1815,0,7
111,42,1763,13,1
112,42,1817,19,2
113,43,2006,0,5
114,43,1555,12,8
115,44,1454,0,8
116,44,1510,10,10
117,45,1463,0,9
118,45,1510,11,1
119,45,917,14,2
120,45,1463,19,2
121,46,1218,19,1
122,46,1318,20,1
123,47,1510,1,6
124,47,917,10,2
125,47,770,14,1
126,47,917,20,2
