,id,gps2id,start_hour,duration
0,1,1865,6,4
0,1,1715,13,4
0,1,1765,18,3
0,2,1715,4,8
0,2,1763,17,3
0,3,1068,0,5
0,3,1900,11,3
0,4,1715,1,5
0,4,1510,14,4
0,5,1419,0,10
0,5,1470,12,2
0,6,1765,2,6
0,6,1956,9,4
0,8,1558,5,5
0,9,1904,4,2
0,9,2427,12,2
0,10,1508,0,2
0,10,1509,3,7
0,11,1763,0,6
0,13,1765,1,6
0,14,917,4,2
0,14,1217,14,8
0,15,1667,0,10
0,15,1715,13,9
0,16,1506,0,3
0,16,1604,14,5
0,17,1765,1,3
0,17,1763,5,7
0,17,1815,14,2
0,17,2057,17,5
0,18,1556,6,3
0,18,1557,15,7
0,19,1168,1,2
0,19,1218,4,3
0,19,1216,9,3
0,19,1167,13,3
0,20,1618,4,2
0,20,1667,10,4
0,21,1959,1,3
0,21,1900,6,7
0,21,1274,14,4
0,22,1765,1,4
0,23,1713,2,9
0,24,1416,6,6
0,25,1559,6,5
0,25,1510,14,2
0,26,1555,0,14
0,26,1503,20,2
0,27,1715,1,9
0,27,1765,11,10
0,29,1066,10,3
0,29,1016,14,3
0,30,1918,5,7
0,31,1667,1,2
0,31,1667,10,7
0,33,1555,0,5
0,34,1715,0,4
0,34,1510,8,4
0,34,1504,14,2
0,35,1817,0,6
0,35,1765,9,2
0,35,1763,17,5
0,36,1371,3,11
0,37,1506,6,2
0,38,1510,7,5
0,39,1605,0,2
0,39,1505,5,2
0,39,917,11,2
0,40,1116,2,3
0,42,1817,12,4
0,43,1815,2,2
0,44,1900,3,2
0,44,1274,6,6
0,45,1815,0,4
0,45,1771,18,2
0,46,1765,4,3
0,46,1613,17,2
0,47,1008,16,2
0,48,1605,1,2
0,48,1620,18,4
0,49,1607,14,2
0,49,1657,17,3
0,50,1815,6,10
0,51,1900,6,11
0,52,1713,7,4
0,53,1815,0,6
0,53,1814,16,3
0,54,1511,0,4
0,54,1167,10,3
0,54,1218,14,3
0,55,1504,11,3
0,56,1900,6,15
0,57,1216,2,4
0,58,1511,6,2
0,59,1765,1,5
0,59,1508,7,3
0,59,1510,13,2
0,60,917,2,3
0,60,770,8,3
0,60,367,19,2
0,61,1216,0,4
0,61,1414,10,2
0,61,1513,17,3
0,62,1468,3,2
0,62,1316,12,4
0,63,1763,5,12
0,63,1817,19,2
0,64,1509,14,5
0,65,1763,0,5
0,65,1762,7,3
0,65,1812,11,2
0,66,1555,0,7
0,66,1605,8,2
0,66,1505,12,3
0,66,1462,18,2
0,67,367,1,2
0,67,869,8,2
0,68,1815,2,7
0,69,1510,3,8
0,69,1510,14,6
0,70,1567,8,2
0,70,1568,11,3
0,71,1817,0,7
0,71,1763,8,3
0,71,1713,15,2
0,72,1419,13,3
0,73,1463,0,4
0,74,1765,0,10
0,75,1462,0,3
0,75,1464,8,2
0,75,1416,15,5
0,76,1511,3,2
0,76,1316,9,6
0,77,1512,4,4
0,77,1514,17,2
0,78,1517,1,2
0,78,1620,13,2
0,79,1815,1,5
0,79,1817,8,2
0,81,1763,1,5
0,83,1667,0,22
0,84,1510,1,2
0,84,1510,5,4
0,84,1657,17,3
0,85,1762,8,2
0,86,1763,1,4
0,86,1817,13,3
0,87,1510,5,3
0,87,1461,17,2
0,88,1510,0,11
0,89,1667,1,12
0,90,1607,9,2
0,90,1557,14,3
0,91,1959,6,2
0,91,1959,14,3
0,92,1512,0,2
0,92,1462,3,2
0,92,1511,6,6
0,92,1462,13,4
0,92,1463,19,2
0,93,1462,4,3
0,93,1414,16,3
0,94,1510,2,13
0,94,1510,17,5
0,95,869,5,3
0,96,1763,3,4
0,96,1763,10,2
0,96,1715,18,2
0,97,1667,0,3
0,97,1618,13,2
0,98,1713,0,2
0,98,1763,3,8
0,99,1565,0,4
0,100,1765,16,2
0,101,1915,14,2
0,101,1916,19,2
0,102,1216,0,5
0,102,1167,8,2
0,103,1513,0,2
0,104,1510,6,8
0,104,1559,15,4
0,105,1618,4,3
0,105,1619,10,3
0,106,1620,0,6
0,106,1619,8,2
0,107,1456,0,3
0,107,1458,5,2
0,107,1508,12,2
0,108,1559,17,3
0,109,1971,4,4
0,110,1817,0,4
0,111,1709,0,5
0,111,1563,13,3
0,112,1555,1,4
0,112,1512,9,2
0,112,1559,12,2
0,113,1667,0,2
0,113,1667,4,6
0,114,1371,14,2
0,115,1715,6,5
0,115,1619,12,3
0,116,1555,5,11
0,117,1815,2,7
0,117,1763,13,4
0,118,1815,0,21
0,119,1268,6,3
0,119,1121,13,3
0,119,1217,19,2
0,121,1763,12,8
0,122,1274,0,7
0,122,1956,8,5
0,122,1956,17,3
0,123,1765,0,9
0,123,1763,13,7
0,124,1217,7,5
0,124,1316,15,3
0,125,1318,4,5
0,125,1468,17,2
0,126,1559,0,3
0,126,1559,8,2
0,126,1865,16,2
0,127,1416,1,2
0,127,1419,9,4
0,127,1516,18,2
0,128,1266,7,2
0,128,1216,11,5
0,129,1815,1,2
0,129,1765,4,4
0,129,1713,11,3
0,129,1765,17,2
0,133,1316,1,2
0,133,1316,9,8
0,134,1667,0,6
0,134,1763,13,6
0,135,1507,4,2
0,135,1510,12,4
0,136,1568,4,3
0,136,1815,12,3
0,137,1557,1,3
0,137,1510,11,10
0,138,1765,3,4
0,139,1116,5,2
0,140,1912,9,2
0,142,1068,8,6
0,142,1416,18,4
0,143,1815,0,16
0,143,1814,20,2
0,145,1508,4,4
0,145,1559,15,2
0,147,1620,0,2
0,147,1667,9,6
0,148,1667,0,7
0,148,1667,9,8
0,148,1715,18,4
0,149,1316,0,8
0,150,1815,0,8
0,150,1763,9,10
0,151,1971,5,9
0,151,1904,16,3
0,152,1510,0,7
0,152,1461,8,2
0,152,1511,11,10
0,153,1715,1,2
0,153,1715,8,2
0,154,1508,9,10
0,155,1713,0,6
0,155,1713,8,3
0,157,1667,0,5
0,157,1565,8,10
0,158,1817,15,7
0,159,1510,0,2
0,159,1555,3,7
0,159,1555,12,2
0,160,1555,0,9
0,160,1555,12,9
0,161,1815,0,9
0,161,965,20,2
0,162,1510,12,2
0,163,1763,12,4
0,166,1462,0,3
0,166,1765,11,4
0,166,1815,19,3
0,167,1367,4,2
0,167,1416,9,2
0,167,1416,14,7
0,168,1956,10,3
0,168,2006,15,3
0,169,1667,3,3
0,169,1667,8,2
0,169,1667,14,3
0,170,1815,0,5
0,170,1763,8,7
0,171,1560,0,2
0,171,1609,3,2
0,171,1510,8,4
0,172,1508,0,2
0,172,1510,3,6
0,172,1510,17,3
0,173,1765,5,7
0,173,1817,18,2
0,174,1865,2,2
0,174,1763,8,2
0,174,1918,15,4
0,175,1815,3,13
0,176,1559,0,4
0,178,770,5,4
0,178,1510,10,2
0,179,1762,2,2
0,179,1667,15,7
0,180,1715,3,3
0,181,1715,2,6
0,182,1715,8,6
0,183,1415,2,2
0,183,1414,7,7
0,184,1815,0,2
0,184,1971,3,2
0,184,1763,6,6
0,184,1763,14,8
0,185,1463,3,7
0,185,1556,18,3
0,186,1715,3,2
0,187,1667,0,2
0,187,1621,5,2
0,187,1763,10,2
0,187,1763,14,2
0,188,1569,9,2
0,189,1763,1,4
0,189,1815,7,9
0,189,1765,17,3
0,190,1669,1,2
0,190,1620,4,2
0,190,1267,11,2
0,190,1316,14,2
0,192,1817,5,5
0,192,1817,12,2
0,193,1562,0,2
0,193,1508,17,3
0,194,1765,0,10
0,194,1763,13,4
0,194,1762,19,3
0,196,1667,1,16
0,196,1667,19,2
0,197,1008,10,4
0,198,1956,7,7
0,199,1879,4,2
0,199,2427,7,2
0,200,1815,0,3
0,201,1509,2,4
0,201,1708,17,2
0,201,1510,20,2
0,202,1667,0,9
0,202,1613,14,2
0,202,1511,18,3
0,203,1218,5,7
0,204,1510,3,9
0,205,1558,8,3
0,206,1715,1,2
0,206,1865,7,2
0,206,1815,15,3
0,208,1567,3,2
0,208,1567,7,3
0,209,1464,1,3
0,209,1414,5,4
0,210,1568,0,2
0,210,1569,4,4
0,210,1667,17,2
0,211,1367,5,2
0,211,1419,16,3
0,212,1504,1,15
0,212,1504,18,2
0,213,1511,3,4
0,215,1773,0,5
0,215,1722,6,2
0,215,1671,9,2
0,215,1763,20,2
0,216,1815,0,19
0,217,2431,10,2
0,218,1560,6,2
0,218,1511,9,2
0,219,1567,1,3
0,219,1667,5,2
0,219,1715,11,9
0,220,1765,0,6
0,220,1815,7,7
0,222,1507,0,2
0,222,1557,3,3
0,222,1606,13,5
0,223,1561,0,3
0,223,1559,4,2
0,223,1511,20,2
0,224,1467,14,2
0,225,1713,11,3
0,226,1815,0,15
0,227,1068,3,6
0,227,1274,14,4
0,227,1416,20,2
0,228,1510,5,3
0,229,1512,0,3
0,229,1560,7,5
0,229,1510,18,2
0,230,1464,4,2
0,231,1815,2,17
0,232,1510,4,11
0,232,1560,16,2
0,232,1511,19,2
0,233,1900,4,7
0,234,1765,1,4
0,234,1715,6,5
0,234,1715,13,3
0,235,1715,0,7
0,235,1765,8,4
0,236,1564,2,3
0,236,1614,8,3
0,237,1462,13,3
0,238,1510,6,6
0,238,1509,19,2
0,239,1620,4,3
0,239,1765,18,2
0,240,1507,0,3
0,240,1511,10,10
0,241,1667,1,5
0,241,1768,20,2
0,242,1466,0,4
0,243,1416,2,3
0,243,1467,6,3
0,243,1512,10,2
0,244,1619,0,9
0,245,1467,0,6
0,245,1416,7,3
0,245,1316,16,3
0,246,1555,0,4
0,246,1453,14,5
0,247,1765,4,4
0,248,1669,7,2
0,248,1567,19,2
0,249,1971,1,2
0,250,1667,6,2
0,251,1971,9,2
0,252,1765,3,14
0,253,1815,16,4
0,254,1510,2,6
0,254,1508,9,4
0,254,1508,15,2
0,255,1815,0,2
0,256,1274,1,7
0,257,1558,0,3
0,257,1556,8,2
0,258,1763,0,2
0,259,1763,0,4
0,259,1713,5,2
0,259,1763,9,4
0,260,1763,6,2
0,260,1815,12,9
0,261,1620,0,2
0,261,1761,4,4
0,261,1508,12,5
0,262,1620,1,15
0,263,1510,6,3
0,263,1613,13,2
0,265,1453,12,4
0,268,1763,0,7
0,268,1815,10,2
0,270,1715,1,6
0,270,1765,8,3
0,270,1715,13,4
0,273,1562,1,3
0,273,1511,5,2
0,273,1556,11,3
0,273,1505,16,2
0,274,1667,2,5
0,274,1667,10,2
0,275,1765,0,13
0,276,1015,11,2
0,276,1116,14,2
0,279,1568,2,2
0,279,1817,8,3
0,279,1567,16,2
0,280,1316,1,4
0,280,1216,16,3
0,283,1274,0,6
0,283,1465,9,2
0,283,1416,13,2
0,284,1667,5,8
0,285,1467,3,3
0,285,1957,10,3
0,285,1956,14,2
0,285,1956,18,2
0,287,1765,5,4
0,288,1216,10,5
0,289,1814,1,4
0,289,1815,14,2
0,289,1763,17,3
0,290,1667,0,4
0,290,1667,6,3
0,290,1667,11,5
0,291,1508,2,4
0,291,1763,13,4
0,292,1971,1,2
0,292,1506,7,3
0,293,1316,1,4
0,294,1510,8,4
0,295,1765,0,5
0,295,1815,6,8
0,296,1463,1,2
0,296,1567,8,3
0,296,1619,17,5
0,298,1667,8,9
0,298,1667,19,2
0,299,1763,12,7
0,300,1765,2,5
0,300,1814,8,3
0,300,1763,15,3
0,301,1814,0,5
0,301,1763,6,4
0,302,1815,2,8
0,303,1116,0,3
0,303,1116,9,4
0,305,1667,0,7
0,305,1667,10,9
0,306,1612,2,3
0,306,1765,9,12
0,307,1567,7,3
0,307,1518,11,2
0,307,1468,15,2
0,308,1814,4,2
0,308,1763,10,12
0,309,1713,3,2
0,309,1664,8,2
0,310,1223,12,2
0,311,1900,4,8
0,312,1510,2,8
0,312,1509,11,2
0,312,1567,19,2
0,313,917,12,2
0,314,1815,5,2
0,314,1763,15,2
0,315,1815,3,2
0,315,1763,6,4
0,316,1558,5,7
0,316,1507,13,7
0,317,1068,3,8
