0,1748,1747,1697,1697,1697,1697,1697,1697,1697,1697,1646,1697,1698,1698,1647,1647,1647,1647,1646,1697,1697,1648,1648,1598
1,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,1797,1797,1746,1847,1847,1847,1847,1847,1847,1897,1847
2,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,1996,2045,1996,2045,1948,1948,1899,2047,2047,2048
3,1945,1946,1946,1946,1946,1946,1946,1895,1895,1946,1997,2198,2149,2199,2348,2399,2350,2401,2350,1947,1947,1947,1947,1896
4,1996,1996,1996,1996,2047,2047,2047,2047,1998,1944,1945,1996,2046,1846,1846,1846,1846,1895,1894,1893,1945,1945,1995,1994
5,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1997,1898,1898,1947,1948,1949,1950,1948,1897,1847
6,1798,1798,1798,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1898,1847,1896,1999,1949,2048,2097,1798,1798,1798,1748
7,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1798,1897,1847,1847,1847,1847,1847,1847
8,1648,1648,1648,1648,1648,1648,1648,1648,1598,1599,1547,1547,1596,1596,1647,1648,1699,1698,1647,649,598,599,598,649
9,1649,1698,1698,1698,1698,1698,1698,1698,1698,1698,1698,1749,1749,1749,1800,1849,1849,1800,1698,1698,1698,1698,1698,1647
10,1545,1545,1545,1545,1545,1545,1545,1545,1545,1595,1748,1697,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1594
11,2047,1996,1996,1996,1945,1894,1895,1945,1996,1996,1996,1996,1996,1996,1946,1996,2094,2094,2094,1846,1846,1846,1897,1946
12,1546,1595,1597,1597,1597,1546,1497,1548,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,1697,1747,1747,1698,1649,1650
13,1795,1795,1795,1795,1795,1595,1595,1595,1595,1595,1595,1795,1795,1744,1595,1595,1595,1545,1795,1795,1795,1795,1794,1793
14,1697,1697,1697,1697,1697,1648,1699,1649,1600,1898,1898,1898,1898,1898,1898,1898,1898,1898,1697,1697,1697,1697,1747,1698
15,1896,1896,1896,1896,1896,1896,1896,1896,1897,1946,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896,1846
16,1798,1799,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1597,1498,1498,1498,1547,1547,1497
17,1945,1995,1945,1894,1894,1844,1846,1847,1944,1944,1995,2046,1997,1846,1846,1846,1846,1846,1846,1846,1846,1846,1846,1897
18,2099,2099,2098,2098,2098,2098,2098,2098,2098,2098,2097,2097,2046,2097,2047,2047,2047,2047,2047,2047,2047,2047,1997,1946
19,1843,1843,1843,1843,1843,1843,1795,1795,1795,1795,1795,1795,1795,1843,1843,1843,1843,1843,1843,1843,1843,1894,1997,2048
20,1844,1845,1843,1843,1843,1843,1843,1842,1893,1844,1890,1890,1841,1843,1843,1843,1843,1843,1843,1843,1844,1843,1844,1895
21,1647,1647,1647,1647,1647,1647,1646,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1495,1647,1647,1647,1647,1647,1598
22,1849,1849,1849,1849,1849,1849,1849,1900,1596,1596,1645,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1849,1799
23,1946,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1847,1798,1747,1748,1647,1596,1597,1547,1949,1949,1949,1949,1999
24,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1749,1698,1748,1498,1498,1498,1497
25,2097,2096,2046,2047,2047,2047,2047,2047,2047,2098,2098,2149,2098,1947,1947,1947,1896,1946,1897,2098,2098,2098,2048,1997
26,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,1999,1949,2000,2047,2046,2045,1998,1999
27,843,843,843,843,892,891,543,543,542,493,493,843,843,843,843,843,843,792,741,742,491,542,542,492
28,1547,1547,1547,1547,1547,1547,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1747,1547,1547,1547,1547,1546
29,1846,1846,1846,1846,1846,1846,1846,1846,1846,1847,1795,1795,1795,1795,1745,1796,1845,1844,1795,1846,1846,1846,1847,1796
30,2297,2297,2297,2297,2297,2297,2297,2297,2297,2297,2297,2297,2297,2346,2296,2147,2198,2249,2297,2297,2297,2247,2198,2247
31,1946,1896,1896,1896,1946,1945,1945,1945,1945,1945,1945,1945,1945,1945,1996,2047,2098,1896,1896,1896,1896,1897,1945,1996
32,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,1648,1944,1944,1994,1647,1647,1647,1647,1698
33,2296,2345,2346,2296,2245,2245,2245,2245,2296,1498,1498,1498,1498,1498,2245,2245,2194,2243,2293,1498,1498,1498,1447,1396
34,2146,2146,2146,2146,2146,2146,2146,2146,2196,2195,2146,2146,2146,2146,2146,2397,2196,2196,2196,2196,2145,2096,2097,2047
35,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1091,843,892,491,491,440,440,439,438,1042,1043
36,1748,1749,1749,1750,1899,1848,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1846,1845,1844,1795,1844,1844
37,1649,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,1647,1698,1747,1699,1699,1650,1701,1648,1648,1648,1697,1746,1797
38,2492,2492,2492,2492,2492,2492,2493,2499,2293,2344,2491,2490,2492,2491,2491,2491,2491,2491,2491,2492,2492,2492,2492,2499
39,2098,2098,2098,2098,2098,2098,2098,2098,2098,2149,2150,2100,2151,2047,2047,2048,1999,2048,1999,2098,2098,2098,2098,2098
40,1498,1447,1447,1497,1547,1547,1596,1646,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1547,1547,1546,1595,1594
41,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048,2047,1948,1948,1997,1948,2048,2048,2048,2048,2048,2098
42,1598,1598,1598,1598,1598,1598,1598,1598,1599,1648,1647,1596,1747,1747,1796,1796,1745,1696,1746,1797,1598,1598,1549,1500
