,Unnamed: 0,id,grid,start_hour,end_hour,duration,lon,lat,gps2id
10,10,85E6B4DC96BFA3920E08895C266F386F,13121,1,7,6,38,46,1946
11,11,85E6B4DC96BFA3920E08895C266F386F,11701,11,12,1,43,48,2198
12,12,85E6B4DC96BFA3920E08895C266F386F,43621,14,15,1,46,48,2348
13,13,85E6B4DC96BFA3920E08895C266F386F,13681,19,23,4,38,47,1947
21,21,2C92D9A1E7726DE0B07E3A3E97221DE4,10901,0,3,3,35,48,1798
22,22,2C92D9A1E7726DE0B07E3A3E97221DE4,11491,3,13,10,36,47,1847
23,23,2C92D9A1E7726DE0B07E3A3E97221DE4,11771,16,17,1,39,49,1999
24,24,2C92D9A1E7726DE0B07E3A3E97221DE4,10191,18,19,1,40,48,2048
25,25,2C92D9A1E7726DE0B07E3A3E97221DE4,10901,20,23,3,35,48,1798
29,29,872BD86EB5634CC7A619827DD15029E6,11161,0,8,8,32,48,1648
30,30,872BD86EB5634CC7A619827DD15029E6,11381,10,12,2,30,47,1547
31,31,872BD86EB5634CC7A619827DD15029E6,11161,15,16,1,32,48,1648
32,32,872BD86EB5634CC7A619827DD15029E6,11631,19,20,1,12,49,649
36,36,33825114014E22B38BE13400DBE8B281,42871,0,8,8,30,45,1545
37,37,33825114014E22B38BE13400DBE8B281,13511,10,11,1,34,48,1748
38,38,33825114014E22B38BE13400DBE8B281,42871,12,23,11,30,45,1545
39,39,5832F798017EC944959971DE10E6C76B,13911,1,4,3,39,46,1996
40,40,5832F798017EC944959971DE10E6C76B,42351,4,5,1,38,45,1945
41,41,5832F798017EC944959971DE10E6C76B,13911,8,14,6,39,46,1996
42,42,5832F798017EC944959971DE10E6C76B,12211,16,19,3,41,44,2094
43,43,5832F798017EC944959971DE10E6C76B,11261,19,21,2,36,46,1846
47,47,44AA91905A7E8DBC24B0A51CC88C9204,42151,0,4,4,35,45,1795
48,48,44AA91905A7E8DBC24B0A51CC88C9204,42531,5,11,6,31,45,1595
49,49,44AA91905A7E8DBC24B0A51CC88C9204,42151,11,13,2,35,45,1795
50,50,44AA91905A7E8DBC24B0A51CC88C9204,42531,14,17,3,31,45,1595
51,51,44AA91905A7E8DBC24B0A51CC88C9204,42151,18,22,4,35,45,1795
52,52,DC84219A18D205A834F01D7743EEEE79,42021,0,5,5,33,47,1697
53,53,DC84219A18D205A834F01D7743EEEE79,10471,9,18,9,37,48,1898
54,54,DC84219A18D205A834F01D7743EEEE79,42021,18,22,4,33,47,1697
