,Unnamed: 0,id,grid,start_hour,end_hour,duration,lon,lat,gps2id
0,0,AADB05184605E526D4301A47BFDDB588,42921,2,10,8,33,47,1697
1,1,AADB05184605E526D4301A47BFDDB588,10281,12,13,1,33,48,1698
2,2,AADB05184605E526D4301A47BFDDB588,11861,14,18,4,32,47,1647
3,3,AADB05184605E526D4301A47BFDDB588,42921,19,21,2,33,47,1697
4,4,6D411464E8569334C6217011CDDAB47B,10281,0,13,13,33,48,1698
5,5,6D411464E8569334C6217011CDDAB47B,10251,13,15,2,35,47,1797
6,6,6D411464E8569334C6217011CDDAB47B,42161,16,22,6,36,47,1847
7,7,A27FBDA95E2A69A4F36C58ED06D19FA6,42271,0,14,14,40,47,2047
8,8,A27FBDA95E2A69A4F36C58ED06D19FA6,40171,18,20,2,38,48,1948
9,9,A27FBDA95E2A69A4F36C58ED06D19FA6,13101,21,23,2,40,47,2047
14,14,2808B465D0CA5BE626B66BA705E41B68,13231,0,4,4,39,46,1996
15,15,2808B465D0CA5BE626B66BA705E41B68,42864,9,10,1,38,44,1944
16,16,2808B465D0CA5BE626B66BA705E41B68,11261,13,17,4,36,46,1846
17,17,2808B465D0CA5BE626B66BA705E41B68,42351,20,22,2,38,45,1945
18,18,14C205DF57BD0AA586E26BE4ED695846,42581,0,14,14,38,48,1948
19,19,14C205DF57BD0AA586E26BE4ED695846,11914,15,17,2,37,48,1898
20,20,14C205DF57BD0AA586E26BE4ED695846,40171,21,22,1,38,48,1948
26,26,1E80787B69718C7476B2A0E1C06850FD,42401,0,15,15,36,47,1847
27,27,1E80787B69718C7476B2A0E1C06850FD,11074,17,18,1,37,47,1897
28,28,1E80787B69718C7476B2A0E1C06850FD,42301,18,23,5,36,47,1847
33,33,662FC5D6B6F2D4B0D4559983BA297CBC,10281,1,11,10,33,48,1698
34,34,662FC5D6B6F2D4B0D4559983BA297CBC,40951,15,17,2,36,49,1849
35,35,662FC5D6B6F2D4B0D4559983BA297CBC,10281,18,22,4,33,48,1698
44,44,D75859C5199E26E4E069299921FEC112,42523,2,5,3,31,47,1597
45,45,D75859C5199E26E4E069299921FEC112,43761,8,18,10,32,47,1647
46,46,D75859C5199E26E4E069299921FEC112,42921,18,19,1,33,47,1697
55,55,B4D70E7CDFA879C6A4BAE698CD44BB37,10271,0,8,8,37,46,1896
56,56,B4D70E7CDFA879C6A4BAE698CD44BB37,13121,9,10,1,38,46,1946
57,57,B4D70E7CDFA879C6A4BAE698CD44BB37,10271,10,23,13,37,46,1896
61,61,EDBEDCDD3729803D79956D4495DD48D8,42351,0,1,1,38,45,1945
62,62,EDBEDCDD3729803D79956D4495DD48D8,11261,6,7,1,36,46,1846
63,63,EDBEDCDD3729803D79956D4495DD48D8,42864,8,10,2,38,44,1944
64,64,EDBEDCDD3729803D79956D4495DD48D8,11261,13,22,9,36,46,1846
65,65,884C9210F61ADBFD1EDE89A3EAB05C30,11481,2,10,8,41,48,2098
66,66,884C9210F61ADBFD1EDE89A3EAB05C30,40833,11,12,1,41,47,2097
67,67,884C9210F61ADBFD1EDE89A3EAB05C30,13101,14,22,8,40,47,2047
72,72,3821B66A00758CF4502F36B7CE2D17D9,12491,2,7,5,36,43,1843
73,73,3821B66A00758CF4502F36B7CE2D17D9,43451,10,12,2,37,40,1890
74,74,3821B66A00758CF4502F36B7CE2D17D9,12491,13,20,7,36,43,1843
87,87,176F4E967E986DAF00C74DDD3BF2A8FE,42271,4,9,5,40,47,2047
88,88,176F4E967E986DAF00C74DDD3BF2A8FE,11806,9,11,2,41,48,2098
89,89,176F4E967E986DAF00C74DDD3BF2A8FE,13331,13,16,3,38,47,1947
90,90,176F4E967E986DAF00C74DDD3BF2A8FE,11806,19,22,3,41,48,2098
91,91,4D8BE76F271C7AE4FAC0F3039FEBB60C,42281,0,16,16,40,48,2048
92,92,4D8BE76F271C7AE4FAC0F3039FEBB60C,13101,19,20,1,40,47,2047
93,93,4D8BE76F271C7AE4FAC0F3039FEBB60C,43181,22,23,1,39,48,1998
101,101,9F2BAB521AAFFBE7CC97AED22DC2FAF1,11261,0,9,9,36,46,1846
102,102,9F2BAB521AAFFBE7CC97AED22DC2FAF1,42151,10,14,4,35,45,1795
103,103,9F2BAB521AAFFBE7CC97AED22DC2FAF1,11261,19,22,3,36,46,1846
104,104,53650105F7F25F79263F92D3A7D439AB,42461,0,13,13,45,47,2297
105,105,53650105F7F25F79263F92D3A7D439AB,11001,15,16,1,42,47,2147
106,106,53650105F7F25F79263F92D3A7D439AB,42461,18,21,3,45,47,2297
107,107,E16566CAC1D2263C830A92E3D7A4B3A9,42231,1,4,3,37,46,1896
108,108,E16566CAC1D2263C830A92E3D7A4B3A9,42351,6,12,6,38,45,1945
109,109,E16566CAC1D2263C830A92E3D7A4B3A9,42231,17,21,4,37,46,1896
110,110,E16566CAC1D2263C830A92E3D7A4B3A9,42351,22,23,1,38,45,1945
130,130,E96212EFC2FCFD2907ABEE6EE15AC7FD,10721,1,10,9,31,48,1598
131,131,E96212EFC2FCFD2907ABEE6EE15AC7FD,10431,14,16,2,33,49,1699
132,132,E96212EFC2FCFD2907ABEE6EE15AC7FD,12971,18,20,2,32,48,1648
139,139,AA08818C7E8C591C20688C68152F6B6D,11481,0,9,9,41,48,2098
140,140,AA08818C7E8C591C20688C68152F6B6D,13101,13,15,2,40,47,2047
141,141,AA08818C7E8C591C20688C68152F6B6D,11481,19,23,4,41,48,2098
142,142,394D700E14C58A7853C10805B183B24E,11381,4,6,2,30,47,1547
143,143,394D700E14C58A7853C10805B183B24E,11871,8,19,11,29,46,1496
144,144,394D700E14C58A7853C10805B183B24E,11381,19,21,2,30,47,1547
145,145,E779DF22EB61C0D4BA72F0FBA1762DF8,42583,0,13,13,40,48,2048
146,146,E779DF22EB61C0D4BA72F0FBA1762DF8,42581,14,16,2,38,48,1948
147,147,E779DF22EB61C0D4BA72F0FBA1762DF8,42583,18,23,5,40,48,2048
148,148,460F97EBC86F8CBF93D1A8D6309E0ED8,43311,0,8,8,31,48,1598
149,149,460F97EBC86F8CBF93D1A8D6309E0ED8,10151,12,14,2,34,47,1747
150,150,460F97EBC86F8CBF93D1A8D6309E0ED8,43311,20,22,2,31,48,1598
155,155,FC153B410C5E5B56EE0C4EBEE683F42B,42301,0,13,13,36,47,1847
156,156,FC153B410C5E5B56EE0C4EBEE683F42B,10111,14,17,3,37,47,1897
157,157,FC153B410C5E5B56EE0C4EBEE683F42B,42301,17,23,6,36,47,1847
158,158,EEEB433A36E0F496A9DAB4A209387715,12311,0,2,2,30,44,1544
159,159,EEEB433A36E0F496A9DAB4A209387715,10351,6,13,7,28,45,1445
160,160,EEEB433A36E0F496A9DAB4A209387715,12121,17,18,1,29,47,1497
166,166,ED387BC9729A0D8CA1364378D6AA6E43,10634,7,8,1,27,45,1395
167,167,ED387BC9729A0D8CA1364378D6AA6E43,10351,11,12,1,28,45,1445
168,168,ED387BC9729A0D8CA1364378D6AA6E43,10634,13,23,10,27,45,1395
172,172,E733E2BCFA57BF507E7D4380A7C2C282,10841,0,11,11,37,47,1897
173,173,E733E2BCFA57BF507E7D4380A7C2C282,41027,13,16,3,38,47,1947
174,174,E733E2BCFA57BF507E7D4380A7C2C282,42221,16,20,4,38,48,1948
175,175,E733E2BCFA57BF507E7D4380A7C2C282,42511,21,22,1,37,47,1897
176,176,9FC853D14B199D9AE09B3905110E90BD,12514,0,13,13,38,47,1947
177,177,9FC853D14B199D9AE09B3905110E90BD,10471,16,19,3,37,48,1898
178,178,9FC853D14B199D9AE09B3905110E90BD,12514,19,23,4,38,47,1947
183,183,75B6D91479467607B0BA166BDAF35CA1,10431,0,6,6,33,49,1699
184,184,75B6D91479467607B0BA166BDAF35CA1,43581,7,15,8,33,48,1698
185,185,75B6D91479467607B0BA166BDAF35CA1,10431,17,22,5,33,49,1699
195,195,4A64F91296EF8C1DAA19E0A02FF0729A,10231,0,9,9,39,49,1999
196,196,4A64F91296EF8C1DAA19E0A02FF0729A,10661,9,10,1,37,49,1899
197,197,4A64F91296EF8C1DAA19E0A02FF0729A,10231,16,23,7,39,49,1999
203,203,C0EC240E36490D1263D83D45770C29BF,42321,0,10,10,43,47,2197
204,204,C0EC240E36490D1263D83D45770C29BF,42091,11,14,3,43,46,2196
205,205,C0EC240E36490D1263D83D45770C29BF,42321,15,23,8,43,47,2197
209,209,700A8469B8648E235281334EF5CC8DA1,10371,0,9,9,37,49,1899
210,210,700A8469B8648E235281334EF5CC8DA1,10471,10,11,1,37,48,1898
211,211,700A8469B8648E235281334EF5CC8DA1,10371,12,22,10,37,49,1899
212,212,2F3FBE39EE4E3AB748593134D6A2A772,42231,0,14,14,37,46,1896
213,213,2F3FBE39EE4E3AB748593134D6A2A772,42351,14,16,2,38,45,1945
214,214,2F3FBE39EE4E3AB748593134D6A2A772,42231,17,21,4,37,46,1896
223,223,A923C41770F47C64367C4A31C06C83C7,13651,1,8,7,30,47,1547
224,224,A923C41770F47C64367C4A31C06C83C7,42523,10,20,10,31,47,1597
225,225,A923C41770F47C64367C4A31C06C83C7,42021,21,23,2,33,47,1697
226,226,147D4CA14E030CF5CD446F8C173CED55,11061,2,4,2,29,48,1498
227,227,147D4CA14E030CF5CD446F8C173CED55,11381,6,9,3,30,47,1547
228,228,147D4CA14E030CF5CD446F8C173CED55,11061,13,23,10,29,48,1498
234,234,A4BAF2470A47998F3C12DA506493D53C,42141,8,15,7,32,47,1647
235,235,A4BAF2470A47998F3C12DA506493D53C,10281,15,17,2,33,48,1698
236,236,A4BAF2470A47998F3C12DA506493D53C,43761,19,22,3,32,47,1647
245,245,CD55B44A3FD4B718A673CC03711FD344,12921,3,10,7,9,41,491
246,246,CD55B44A3FD4B718A673CC03711FD344,12641,11,20,9,10,43,543
247,247,CD55B44A3FD4B718A673CC03711FD344,12921,20,21,1,9,41,491
248,248,FEE5ACDB24DFF6E9A25C550C618C43AE,10251,0,3,3,35,47,1797
249,249,FEE5ACDB24DFF6E9A25C550C618C43AE,40673,5,8,3,36,48,1848
250,250,FEE5ACDB24DFF6E9A25C550C618C43AE,10251,11,23,12,35,47,1797
254,254,20320E88A948067DE50CA3910E0A0CBE,42941,0,9,9,37,47,1897
255,255,20320E88A948067DE50CA3910E0A0CBE,42301,11,14,3,36,47,1847
256,256,20320E88A948067DE50CA3910E0A0CBE,42941,14,16,2,37,47,1897
257,257,20320E88A948067DE50CA3910E0A0CBE,11491,19,20,1,36,47,1847
258,258,405F80E4DB047BF65667610085A0E1FB,19441,2,11,9,8,46,446
259,259,405F80E4DB047BF65667610085A0E1FB,42041,11,13,2,10,47,547
260,260,405F80E4DB047BF65667610085A0E1FB,19441,13,23,10,8,46,446
261,261,070CCFB95BD7B5493FC205585FDC7AC9,13341,0,5,5,44,45,2245
262,262,070CCFB95BD7B5493FC205585FDC7AC9,42631,6,19,13,43,45,2195
263,263,070CCFB95BD7B5493FC205585FDC7AC9,13341,21,23,2,44,45,2245
273,273,B2D4F6629C1492A2195C8109F120607C,11914,0,17,17,37,48,1898
274,274,B2D4F6629C1492A2195C8109F120607C,43481,18,20,2,39,48,1998
275,275,B2D4F6629C1492A2195C8109F120607C,11914,21,23,2,37,48,1898
295,295,59BAD7D0307255207187442691451EAD,13094,0,7,7,21,42,1092
296,296,59BAD7D0307255207187442691451EAD,13091,7,9,2,20,42,1042
297,297,59BAD7D0307255207187442691451EAD,13094,10,22,12,21,42,1092
305,305,804B7737707030C63DF2E4BD94DF220F,11806,1,3,2,41,48,2098
306,306,804B7737707030C63DF2E4BD94DF220F,42271,4,6,2,40,47,2047
307,307,804B7737707030C63DF2E4BD94DF220F,11806,6,23,17,41,48,2098
311,311,E5DFBD5EA9D387D72488BF506891617B,11491,0,7,7,36,47,1847
312,312,E5DFBD5EA9D387D72488BF506891617B,13911,8,9,1,39,46,1996
313,313,E5DFBD5EA9D387D72488BF506891617B,11491,12,23,11,36,47,1847
333,333,58B59FD7AA0814C0C6E50CF40955E7AA,12121,3,4,1,29,47,1497
334,334,58B59FD7AA0814C0C6E50CF40955E7AA,10634,8,17,9,27,45,1395
335,335,58B59FD7AA0814C0C6E50CF40955E7AA,12601,18,21,3,25,47,1297
336,336,58B59FD7AA0814C0C6E50CF40955E7AA,10634,21,23,2,27,45,1395
340,340,DF6451E86EE4B7B98BCA60FC558F51EE,11151,0,3,3,30,48,1548
341,341,DF6451E86EE4B7B98BCA60FC558F51EE,11061,5,7,2,29,48,1498
342,342,DF6451E86EE4B7B98BCA60FC558F51EE,12121,9,16,7,29,47,1497
343,343,DF6451E86EE4B7B98BCA60FC558F51EE,11381,18,20,2,30,47,1547
368,368,3AE63A5055E736CBCC5634D603296607,11461,0,7,7,37,49,1899
369,369,3AE63A5055E736CBCC5634D603296607,43361,7,9,2,38,48,1948
370,370,3AE63A5055E736CBCC5634D603296607,11461,13,23,10,37,49,1899
382,382,5BBCBBF8769301A9D56E4463855D7C25,10471,0,17,17,37,48,1898
383,383,5BBCBBF8769301A9D56E4463855D7C25,43171,18,19,1,39,49,1999
384,384,5BBCBBF8769301A9D56E4463855D7C25,42191,20,23,3,38,49,1949
391,391,6BC8791C9564317F3EE4BD91033B70AD,13411,8,9,1,49,42,2492
392,392,6BC8791C9564317F3EE4BD91033B70AD,43951,12,14,2,49,41,2491
393,393,6BC8791C9564317F3EE4BD91033B70AD,13411,16,18,2,49,42,2492
398,398,A09953F67FED80A8C2308F84F83FE6DA,43241,0,5,5,36,46,1846
399,399,A09953F67FED80A8C2308F84F83FE6DA,13711,7,8,1,38,46,1946
400,400,A09953F67FED80A8C2308F84F83FE6DA,43241,8,22,14,36,46,1846
409,409,38FA3504D95B60E47A27E14C8CAD06CD,11301,0,4,4,41,49,2099
410,410,38FA3504D95B60E47A27E14C8CAD06CD,41392,4,7,3,43,48,2198
411,411,38FA3504D95B60E47A27E14C8CAD06CD,10924,8,23,15,43,49,2199
412,412,6C054AEBB9CA77441FEC6C9497BF29D2,42021,1,15,14,33,47,1697
413,413,6C054AEBB9CA77441FEC6C9497BF29D2,13601,19,20,1,34,47,1747
414,414,6C054AEBB9CA77441FEC6C9497BF29D2,42021,22,23,1,33,47,1697
415,415,E6F25669ED67A718BB8E1422AA23CC99,10821,0,6,6,40,47,2047
416,416,E6F25669ED67A718BB8E1422AA23CC99,13371,8,18,10,41,47,2097
417,417,E6F25669ED67A718BB8E1422AA23CC99,10821,20,23,3,40,47,2047
418,418,58C32AD55A2D53A9841F4840BEBC3755,43061,1,11,10,43,46,2196
419,419,58C32AD55A2D53A9841F4840BEBC3755,42461,12,22,10,45,47,2297
420,420,58C32AD55A2D53A9841F4840BEBC3755,43061,22,23,1,43,46,2196
421,421,EA58C87CB2005675859CA29FF6C3C184,40925,1,7,6,35,49,1799
422,422,EA58C87CB2005675859CA29FF6C3C184,11021,8,10,2,36,49,1849
423,423,EA58C87CB2005675859CA29FF6C3C184,10161,11,12,1,35,49,1799
424,424,EA58C87CB2005675859CA29FF6C3C184,42021,17,23,6,33,47,1697
425,425,B3ED00109F79EFA57E8CA134246B72E1,11861,7,13,6,32,47,1647
426,426,B3ED00109F79EFA57E8CA134246B72E1,10281,14,17,3,33,48,1698
427,427,B3ED00109F79EFA57E8CA134246B72E1,11861,17,20,3,32,47,1647
428,428,B3ED00109F79EFA57E8CA134246B72E1,11651,21,23,2,33,47,1697
429,429,73F5D46A0AB49D3D1FF3EBE9DD0774B5,11261,9,10,1,36,46,1846
430,430,73F5D46A0AB49D3D1FF3EBE9DD0774B5,42864,12,13,1,38,44,1944
431,431,73F5D46A0AB49D3D1FF3EBE9DD0774B5,11261,14,22,8,36,46,1846
464,464,C12DD644AAA0C0B1CFC20CC5C965BD9B,12641,0,15,15,10,43,543
465,465,C12DD644AAA0C0B1CFC20CC5C965BD9B,12921,15,17,2,9,41,491
466,466,C12DD644AAA0C0B1CFC20CC5C965BD9B,19114,19,20,1,7,43,393
471,471,0BC1BC9FA127A76D4558FF0A0EC8FEFB,42921,0,7,7,33,47,1697
472,472,0BC1BC9FA127A76D4558FF0A0EC8FEFB,10281,8,9,1,33,48,1698
473,473,0BC1BC9FA127A76D4558FF0A0EC8FEFB,42021,10,20,10,33,47,1697
474,474,446AC7E279C6659F3E40FC9C0B9B7F45,13341,7,8,1,44,45,2245
475,475,446AC7E279C6659F3E40FC9C0B9B7F45,42631,8,10,2,43,45,2195
476,476,446AC7E279C6659F3E40FC9C0B9B7F45,13341,13,21,8,44,45,2245
480,480,245BF0AC713EC7539F599FEB41303CFA,42461,9,13,4,45,47,2297
481,481,245BF0AC713EC7539F599FEB41303CFA,42201,18,20,2,43,46,2196
482,482,245BF0AC713EC7539F599FEB41303CFA,42461,20,23,3,45,47,2297
483,483,6246A984FAD84CA7D3D390355C22E494,42401,0,8,8,36,47,1847
484,484,6246A984FAD84CA7D3D390355C22E494,10111,8,18,10,37,47,1897
485,485,6246A984FAD84CA7D3D390355C22E494,42401,19,22,3,36,47,1847
486,486,4E4FA3262DF5F7B6F1852C92067A0539,11875,0,13,13,30,46,1546
487,487,4E4FA3262DF5F7B6F1852C92067A0539,12311,17,19,2,30,44,1544
488,488,4E4FA3262DF5F7B6F1852C92067A0539,11875,21,23,2,30,46,1546
497,497,829F3CF969A99106A0CF5C6D0ED0FE14,42161,0,13,13,36,47,1847
498,498,829F3CF969A99106A0CF5C6D0ED0FE14,11231,13,21,8,37,49,1899
499,499,829F3CF969A99106A0CF5C6D0ED0FE14,10251,21,23,2,35,47,1797
500,500,A486521758A27268CCD3905C2122B6F8,11861,0,18,18,32,47,1647
501,501,A486521758A27268CCD3905C2122B6F8,10281,18,19,1,33,48,1698
502,502,A486521758A27268CCD3905C2122B6F8,11861,20,23,3,32,47,1647
541,541,8CD5156CF883DA15618BAFE58DDCF2A7,42581,0,5,5,38,48,1948
542,542,8CD5156CF883DA15618BAFE58DDCF2A7,11914,6,20,14,37,48,1898
543,543,8CD5156CF883DA15618BAFE58DDCF2A7,42581,21,22,1,38,48,1948
544,544,0750773F2B2DAD2C2EBE988336E3DA7D,43181,2,7,5,39,48,1998
545,545,0750773F2B2DAD2C2EBE988336E3DA7D,11331,12,13,1,37,48,1898
546,546,0750773F2B2DAD2C2EBE988336E3DA7D,43181,14,15,1,39,48,1998
547,547,0750773F2B2DAD2C2EBE988336E3DA7D,11914,17,20,3,37,48,1898
548,548,A012A11840DA59BA9C0B1287642AE618,42461,8,10,2,45,47,2297
549,549,A012A11840DA59BA9C0B1287642AE618,13791,12,13,1,42,47,2147
550,550,A012A11840DA59BA9C0B1287642AE618,13951,14,21,7,47,45,2395
555,555,AD00213C3B59D2AB9F04638676B1CD2C,10491,0,15,15,33,48,1698
556,556,AD00213C3B59D2AB9F04638676B1CD2C,10251,16,20,4,35,47,1797
557,557,AD00213C3B59D2AB9F04638676B1CD2C,10491,21,22,1,33,48,1698
558,558,2CB6953F391C73F166D02AC31E930A06,11791,0,8,8,38,49,1949
559,559,2CB6953F391C73F166D02AC31E930A06,11921,12,15,3,38,48,1948
560,560,2CB6953F391C73F166D02AC31E930A06,11914,15,17,2,37,48,1898
561,561,2CB6953F391C73F166D02AC31E930A06,42581,17,19,2,38,48,1948
573,573,EFA01F4DCCCCAD2CD2F33CF685FE54EC,10911,1,18,17,39,46,1996
574,574,EFA01F4DCCCCAD2CD2F33CF685FE54EC,10601,20,21,1,39,47,1997
575,575,EFA01F4DCCCCAD2CD2F33CF685FE54EC,10911,21,23,2,39,46,1996
576,576,C64854E86A3681C3669A53990E16514C,10111,0,7,7,37,47,1897
577,577,C64854E86A3681C3669A53990E16514C,42401,7,16,9,36,47,1847
578,578,C64854E86A3681C3669A53990E16514C,10111,20,23,3,37,47,1897
591,591,558A6887C0D5899B43E75BBD844A7C64,42461,0,5,5,45,47,2297
592,592,558A6887C0D5899B43E75BBD844A7C64,42321,6,15,9,43,47,2197
593,593,558A6887C0D5899B43E75BBD844A7C64,42461,19,20,1,45,47,2297
594,594,A1B0CD375E5B0488BCD3D52356E98FD7,43061,0,8,8,43,46,2196
595,595,A1B0CD375E5B0488BCD3D52356E98FD7,13791,10,12,2,42,47,2147
596,596,A1B0CD375E5B0488BCD3D52356E98FD7,13111,13,16,3,42,46,2146
597,597,A1B0CD375E5B0488BCD3D52356E98FD7,42461,18,21,3,45,47,2297
598,598,582C27F29836D8A1EEDD6397D4042333,10251,9,11,2,35,47,1797
599,599,582C27F29836D8A1EEDD6397D4042333,42161,12,15,3,36,47,1847
600,600,582C27F29836D8A1EEDD6397D4042333,11211,15,17,2,34,49,1749
601,601,582C27F29836D8A1EEDD6397D4042333,42161,21,23,2,36,47,1847
602,602,E45B0EC44E00842EDD865C65A561543D,10471,8,15,7,37,48,1898
603,603,E45B0EC44E00842EDD865C65A561543D,11231,16,18,2,37,49,1899
604,604,E45B0EC44E00842EDD865C65A561543D,10471,18,20,2,37,48,1898
605,605,E45B0EC44E00842EDD865C65A561543D,11231,22,23,1,37,49,1899
606,606,B24DFEF6BEA91CB0AE942579D8124FCB,42161,0,5,5,36,47,1847
607,607,B24DFEF6BEA91CB0AE942579D8124FCB,10971,5,16,11,35,47,1797
608,608,B24DFEF6BEA91CB0AE942579D8124FCB,42161,21,23,2,36,47,1847
609,609,91FB7E11CCB9539E71578F3DFA4AFBA7,12921,9,10,1,9,41,491
610,610,91FB7E11CCB9539E71578F3DFA4AFBA7,19181,12,13,1,8,40,440
611,611,91FB7E11CCB9539E71578F3DFA4AFBA7,12921,16,17,1,9,41,491
612,612,91FB7E11CCB9539E71578F3DFA4AFBA7,19181,21,23,2,8,40,440
619,619,F004825C5EEC7F8B7A184D4985895C55,13341,0,10,10,44,45,2245
620,620,F004825C5EEC7F8B7A184D4985895C55,42631,10,12,2,43,45,2195
621,621,F004825C5EEC7F8B7A184D4985895C55,13341,16,23,7,44,45,2245
627,627,CE8FED3538E83DC20F7843C647A5712E,13271,0,7,7,41,47,2097
