,id,grid,start_hour,end_hour,duration,lon,lat,gps2id
0,2F1CD98DD5F5A4A3E6D47AB706E19DF1,38154,4,6,2,109.5266,18.28278,1615
1,2F1CD98DD5F5A4A3E6D47AB706E19DF1,30151,6,15,9,109.50986,18.25083,1560
2,2F1CD98DD5F5A4A3E6D47AB706E19DF1,60641,15,17,2,109.53854,18.2359,1657
3,2F1CD98DD5F5A4A3E6D47AB706E19DF1,31551,18,19,1,109.55868,18.24222,1708
4,2F1CD98DD5F5A4A3E6D47AB706E19DF1,31171,20,21,1,109.50938,18.24917,1559
5,2F1CD98DD5F5A4A3E6D47AB706E19DF1,38154,21,22,1,109.5266,18.28278,1615
11,8CD2F16F090DFFBF34897CAC847CB1B1,38991,0,8,8,109.52681,18.30368,1618
12,8CD2F16F090DFFBF34897CAC847CB1B1,30071,12,13,1,109.52819,18.30472,1619
13,8CD2F16F090DFFBF34897CAC847CB1B1,31145,14,16,2,109.20431,18.30479,369
14,8CD2F16F090DFFBF34897CAC847CB1B1,38991,19,23,4,109.52681,18.30368,1618
62,3BB24F8BCA3E0C99C850EC3AEEBC46A9,31411,19,21,2,109.5016,18.23576,1507
74,59F29435D748531F416A4F1636997ECF,31071,0,5,5,109.58257,18.28458,1815
75,59F29435D748531F416A4F1636997ECF,30221,7,8,1,109.57833,18.20222,1802
76,59F29435D748531F416A4F1636997ECF,30854,12,22,10,109.56889,18.27076,1763
81,68DBE0B52FD0AB95F1DD47068FD7847F,39111,0,6,6,109.5191,18.22597,1555
82,68DBE0B52FD0AB95F1DD47068FD7847F,30181,6,12,6,109.51597,18.23313,1557
83,68DBE0B52FD0AB95F1DD47068FD7847F,30381,14,16,2,109.52521,18.24507,1609
84,68DBE0B52FD0AB95F1DD47068FD7847F,38291,21,22,1,109.51618,18.24313,1558
94,A8ABE4987042D12DD458C81CFD9663F5,30771,0,15,15,109.49938,18.26042,1511
95,A8ABE4987042D12DD458C81CFD9663F5,30971,20,21,1,109.48708,18.29319,1467
112,29064106BAD1EF15D718EE782B958C59,30854,16,17,1,109.56889,18.27076,1763
113,29064106BAD1EF15D718EE782B958C59,39111,19,23,4,109.5191,18.22597,1555
124,22CF7007721E0F1D863F25E4633BE1AD,60311,0,7,7,109.52097,18.24319,1558
125,22CF7007721E0F1D863F25E4633BE1AD,31521,12,13,1,109.51458,18.22542,1555
126,22CF7007721E0F1D863F25E4633BE1AD,31864,14,15,1,109.49014,18.28333,1465
197,066CC6CBB5ADF978A93AF5D0C3292806,60501,13,14,1,109.48701,18.29021,1466
198,066CC6CBB5ADF978A93AF5D0C3292806,60031,15,17,2,109.49694,18.31632,1521
219,8F33595CCA53EF587ED1CFDC11EABCC3,60381,17,18,1,109.5241,18.22458,1605
220,8F33595CCA53EF587ED1CFDC11EABCC3,38251,19,20,1,109.49618,18.25493,1510
241,222E0B6922623CE9FBB280F81068D40E,38291,1,2,1,109.51618,18.24313,1558
242,222E0B6922623CE9FBB280F81068D40E,30571,4,6,2,109.50243,18.21861,1504
243,222E0B6922623CE9FBB280F81068D40E,39321,10,23,13,109.529,18.2167,1604
269,656B9E927798C6351C23CE193C829143,30171,9,20,11,109.48458,18.27139,1463
272,D359BF2318E0673A42DA16770C88CC4A,31145,13,15,2,109.20431,18.30479,369
273,D359BF2318E0673A42DA16770C88CC4A,31471,16,17,1,109.34583,18.29563,917
274,D359BF2318E0673A42DA16770C88CC4A,30341,18,20,2,109.3625,18.29167,966
288,90D91A493F9482486DCC3B27CF3F61EE,30854,6,8,2,109.56889,18.27076,1763
289,90D91A493F9482486DCC3B27CF3F61EE,31071,11,12,1,109.58257,18.28458,1815
290,90D91A493F9482486DCC3B27CF3F61EE,30854,12,17,5,109.56889,18.27076,1763
304,9BD095517798346F169AD6D898CA1A42,60361,0,12,12,109.51938,18.29681,1567
305,9BD095517798346F169AD6D898CA1A42,38154,14,15,1,109.5266,18.28278,1615
306,9BD095517798346F169AD6D898CA1A42,60361,18,23,5,109.51938,18.29681,1567
323,51A31646817F28C39250F582919BD19D,30111,1,7,6,109.47583,18.30542,1419
324,51A31646817F28C39250F582919BD19D,31431,7,9,2,109.44639,18.29042,1316
335,299AC9422F298CCC4ED16594B565B2CA,31864,19,20,1,109.49014,18.28333,1465
336,299AC9422F298CCC4ED16594B565B2CA,31861,20,22,2,109.49042,18.27549,1464
360,6BEBB9BBE9F4AFE976BF8920DDE09F08,31521,0,12,12,109.51458,18.22542,1555
361,6BEBB9BBE9F4AFE976BF8920DDE09F08,60054,13,17,4,109.3016,18.31229,770
362,6BEBB9BBE9F4AFE976BF8920DDE09F08,31031,18,20,2,109.49979,18.25382,1510
363,6BEBB9BBE9F4AFE976BF8920DDE09F08,31521,21,23,2,109.51458,18.22542,1555
383,FBD16F71D823E84C51D72176C3087A7E,30051,0,20,20,109.48917,18.21215,1453
384,FBD16F71D823E84C51D72176C3087A7E,31031,20,21,1,109.49979,18.25382,1510
423,68B7F3DB5AE2950AAD1040D6DBF076CF,30921,11,18,7,109.53903,18.29451,1667
424,68B7F3DB5AE2950AAD1040D6DBF076CF,38017,21,22,1,109.49729,18.21424,1504
433,104D50A9C0319F25E132948E6191A1E5,30271,9,11,2,109.49132,18.23153,1456
434,104D50A9C0319F25E132948E6191A1E5,30211,12,22,10,109.49882,18.23931,1508
540,46DF6D1FF2BE866E5B4B2D35C5373299,30854,7,15,8,109.56889,18.27076,1763
541,46DF6D1FF2BE866E5B4B2D35C5373299,60221,18,20,2,109.52569,18.29188,1616
553,13104A6A71A054F852B52BB76993ADB2,30851,0,17,17,109.5616,18.27396,1713
554,13104A6A71A054F852B52BB76993ADB2,30951,19,20,1,109.56208,18.25667,1761
555,13104A6A71A054F852B52BB76993ADB2,30854,21,23,2,109.56889,18.27076,1763
576,D4EE8E1A4C04A1FF0596E4221D0B8B42,30854,13,16,3,109.56889,18.27076,1763
577,D4EE8E1A4C04A1FF0596E4221D0B8B42,39111,21,22,1,109.5191,18.22597,1555
578,7803AECF4FFC2BF233E3B7ACD0D2E9F8,39181,0,13,13,109.55153,18.28035,1715
579,7803AECF4FFC2BF233E3B7ACD0D2E9F8,39183,15,16,1,109.55542,18.28208,1715
580,7803AECF4FFC2BF233E3B7ACD0D2E9F8,39181,18,22,4,109.55153,18.28035,1715
598,5A888DC7A3AA300CC584D9862C5384A1,30721,0,7,7,109.51597,18.28257,1565
599,5A888DC7A3AA300CC584D9862C5384A1,39183,9,16,7,109.55542,18.28208,1715
684,1EB913BACF9C05B44A304AC858725E50,30421,19,21,2,109.50021,18.25861,1511
685,1EB913BACF9C05B44A304AC858725E50,30809,21,23,2,109.4891,18.28229,1465
795,3D8ADE80304FD3207128013D43F1118A,31861,0,12,12,109.49042,18.27549,1464
796,3D8ADE80304FD3207128013D43F1118A,30111,14,16,2,109.47583,18.30542,1419
797,3D8ADE80304FD3207128013D43F1118A,60472,17,18,1,109.46625,18.29542,1367
885,33D03C41649B47EDC5176C93FF6F1D8D,60411,0,8,8,109.32514,18.30854,869
886,33D03C41649B47EDC5176C93FF6F1D8D,31471,9,11,2,109.34583,18.29563,917
887,33D03C41649B47EDC5176C93FF6F1D8D,30661,12,14,2,109.37028,18.24361,1008
888,33D03C41649B47EDC5176C93FF6F1D8D,31251,19,20,1,109.18528,18.2975,317
889,33D03C41649B47EDC5176C93FF6F1D8D,31471,22,23,1,109.34583,18.29563,917
903,AECF79630BEEC0EA88FD59B92FCAE378,30854,0,4,4,109.56889,18.27076,1763
904,AECF79630BEEC0EA88FD59B92FCAE378,30891,5,6,1,109.59431,18.28389,1865
909,34C10AAA4D010054D06315D944876FA4,30451,12,15,3,109.1791,18.36229,278
916,36BCA39777B9D1E703C1404CDA6A45E7,30511,0,12,12,109.51069,18.24208,1558
917,36BCA39777B9D1E703C1404CDA6A45E7,30511,12,14,2,109.51069,18.24208,1558
918,36BCA39777B9D1E703C1404CDA6A45E7,30511,16,18,2,109.51069,18.24208,1558
919,36BCA39777B9D1E703C1404CDA6A45E7,60081,21,23,2,109.51097,18.22639,1556
995,8621CFDF1B89A83351494618C53D033F,31071,0,11,11,109.58257,18.28458,1815
996,8621CFDF1B89A83351494618C53D033F,39181,11,14,3,109.55153,18.28035,1715
997,8621CFDF1B89A83351494618C53D033F,39181,16,21,5,109.55153,18.28035,1715
1059,B76381FBDC68F2B2041DDEC63195F0A7,39181,0,3,3,109.55153,18.28035,1715
1060,B76381FBDC68F2B2041DDEC63195F0A7,31931,5,15,10,109.54771,18.29403,1667
1061,B76381FBDC68F2B2041DDEC63195F0A7,39181,17,22,5,109.55153,18.28035,1715
1092,4D190727D19452A2A511EC780EEEE090,31931,0,1,1,109.54771,18.29403,1667
1093,4D190727D19452A2A511EC780EEEE090,30921,1,11,10,109.53903,18.29451,1667
1094,4D190727D19452A2A511EC780EEEE090,31931,11,12,1,109.54771,18.29403,1667
1131,2191B2AD5C915B8862D4C345F0A13CFB,60351,0,1,1,109.58403,18.28958,1816
1132,2191B2AD5C915B8862D4C345F0A13CFB,31071,2,12,10,109.58257,18.28458,1815
1133,2191B2AD5C915B8862D4C345F0A13CFB,60351,15,18,3,109.58403,18.28958,1816
1199,B95895328C22197B47AD92C8267A3C6A,60371,3,5,2,109.53063,18.30056,1618
1200,B95895328C22197B47AD92C8267A3C6A,30921,5,7,2,109.53903,18.29451,1667
1201,B95895328C22197B47AD92C8267A3C6A,60171,11,17,6,109.51292,18.30694,1569
1202,B95895328C22197B47AD92C8267A3C6A,31931,21,23,2,109.54771,18.29403,1667
1207,EB316856896788EC8FD871E122E95728,30931,0,7,7,109.55653,18.32722,1722
1208,EB316856896788EC8FD871E122E95728,31811,9,11,2,109.54201,18.31806,1671
1209,EB316856896788EC8FD871E122E95728,30701,12,13,1,109.59313,18.32007,1871
1210,EB316856896788EC8FD871E122E95728,31811,14,17,3,109.54201,18.31806,1671
1211,EB316856896788EC8FD871E122E95728,30701,18,23,5,109.59313,18.32007,1871
1258,CD3BCBAB8571FB81953C842A434E5DB8,31071,1,5,4,109.58257,18.28458,1815
1259,CD3BCBAB8571FB81953C842A434E5DB8,30854,6,8,2,109.56889,18.27076,1763
1260,CD3BCBAB8571FB81953C842A434E5DB8,31071,13,15,2,109.58257,18.28458,1815
1261,CD3BCBAB8571FB81953C842A434E5DB8,30854,16,17,1,109.56889,18.27076,1763
1262,CD3BCBAB8571FB81953C842A434E5DB8,30771,21,23,2,109.49938,18.26042,1511
1319,42D399F7EB31A1EB2D2AA44B247ACDAA,38331,14,19,5,109.62465,18.22736,1956
1320,42D399F7EB31A1EB2D2AA44B247ACDAA,30421,20,22,2,109.50021,18.25861,1511
1326,38F4BE4A665B515DC81C1A78A906BDC2,60371,0,14,14,109.53063,18.30056,1618
1327,38F4BE4A665B515DC81C1A78A906BDC2,31931,19,21,2,109.54771,18.29403,1667
1390,706B8E0F0F5D1C9FC2F8EBB2574EE89F,30151,0,1,1,109.50986,18.25083,1560
1391,706B8E0F0F5D1C9FC2F8EBB2574EE89F,60201,2,6,4,109.5041,18.2509,1510
1392,706B8E0F0F5D1C9FC2F8EBB2574EE89F,30711,7,15,8,109.50271,18.25347,1510
1393,706B8E0F0F5D1C9FC2F8EBB2574EE89F,30711,18,23,5,109.50271,18.25347,1510
1398,D8898064D7FB8C9B8CE800B6EE2F87B6,30854,12,13,1,109.56889,18.27076,1763
1399,D8898064D7FB8C9B8CE800B6EE2F87B6,31071,14,15,1,109.58257,18.28458,1815
1400,D8898064D7FB8C9B8CE800B6EE2F87B6,30951,19,20,1,109.56208,18.25667,1761
1401,C8A5539982743C3D86E28F8FF2DA3472,30951,0,7,7,109.56208,18.25667,1761
1402,C8A5539982743C3D86E28F8FF2DA3472,31421,7,9,2,109.55382,18.22347,1705
1403,C8A5539982743C3D86E28F8FF2DA3472,30951,10,15,5,109.56208,18.25667,1761
1404,C8A5539982743C3D86E28F8FF2DA3472,31421,18,22,4,109.55382,18.22347,1705
1419,EBD16061EA20EE33D9344D33735E5205,38891,0,7,7,109.51486,18.24118,1558
1420,EBD16061EA20EE33D9344D33735E5205,31441,7,10,3,109.51181,18.24424,1559
1421,EBD16061EA20EE33D9344D33735E5205,38153,10,12,2,109.51819,18.25736,1561
1422,EBD16061EA20EE33D9344D33735E5205,38291,15,17,2,109.51618,18.24313,1558
1423,EBD16061EA20EE33D9344D33735E5205,38891,21,22,1,109.51486,18.24118,1558
1443,DFD0F9616A7053955CDD5FA57FDB4A55,30291,0,7,7,109.50403,18.27028,1513
1444,DFD0F9616A7053955CDD5FA57FDB4A55,31931,8,11,3,109.54771,18.29403,1667
1445,DFD0F9616A7053955CDD5FA57FDB4A55,30271,14,15,1,109.49132,18.23153,1456
1446,DFD0F9616A7053955CDD5FA57FDB4A55,30291,19,23,4,109.50403,18.27028,1513
1477,ADAB51A6D99BADC8222FC392D72ADA01,60281,0,15,15,109.51743,18.25924,1561
1478,ADAB51A6D99BADC8222FC392D72ADA01,30251,16,19,3,109.50611,18.26653,1512
1479,ADAB51A6D99BADC8222FC392D72ADA01,60281,19,23,4,109.51743,18.25924,1561
1482,2F440A235E684ECEDD042B3100A4AE95,31071,0,7,7,109.58257,18.28458,1815
1483,2F440A235E684ECEDD042B3100A4AE95,30854,7,18,11,109.56889,18.27076,1763
1484,2F440A235E684ECEDD042B3100A4AE95,31071,18,23,5,109.58257,18.28458,1815
1506,B4323D9C4164A7FE0A6F3CFD303FFF9A,31821,8,9,1,109.51181,18.24924,1559
1507,B4323D9C4164A7FE0A6F3CFD303FFF9A,30854,12,15,3,109.56889,18.27076,1763
1508,B4323D9C4164A7FE0A6F3CFD303FFF9A,60281,16,23,7,109.51743,18.25924,1561
1512,5EBEA276FCB4A19AC5C987F5C7CC8908,38361,0,6,6,109.43667,18.29201,1267
1513,5EBEA276FCB4A19AC5C987F5C7CC8908,60504,8,9,1,109.47917,18.28903,1416
1523,A1E318C80BE4457762B208DEDA1DAC8C,30151,0,3,3,109.50986,18.25083,1560
1524,A1E318C80BE4457762B208DEDA1DAC8C,60281,7,23,16,109.51743,18.25924,1561
1549,45086BC0869D90A8E8F669EDA6561CFA,31071,0,12,12,109.58257,18.28458,1815
1550,45086BC0869D90A8E8F669EDA6561CFA,31945,13,14,1,109.58021,18.29403,1817
1551,45086BC0869D90A8E8F669EDA6561CFA,39151,19,20,1,109.49875,18.25097,1510
1555,DB4DF566D4757FF3BB488F82DE126248,31561,6,21,15,109.56792,18.28479,1765
1556,DB4DF566D4757FF3BB488F82DE126248,30851,22,23,1,109.5616,18.27396,1713
1588,0312B43ACF9ED1D8304E325E851AEE29,31561,10,11,1,109.56792,18.28479,1765
1589,0312B43ACF9ED1D8304E325E851AEE29,30851,12,14,2,109.5616,18.27396,1713
1590,0312B43ACF9ED1D8304E325E851AEE29,31561,15,17,2,109.56792,18.28479,1765
1591,0312B43ACF9ED1D8304E325E851AEE29,30851,17,18,1,109.5616,18.27396,1713
1592,0312B43ACF9ED1D8304E325E851AEE29,31561,19,20,1,109.56792,18.28479,1765
1602,B55959B64746A18ECF5077B5F7359221,31561,0,13,13,109.56792,18.28479,1765
1603,B55959B64746A18ECF5077B5F7359221,39183,15,16,1,109.55542,18.28208,1715
1604,B55959B64746A18ECF5077B5F7359221,31561,19,23,4,109.56792,18.28479,1765
1676,7B2CDE963911F93596D04C9325284620,38154,0,5,5,109.5266,18.28278,1615
1677,7B2CDE963911F93596D04C9325284620,60221,5,8,3,109.52569,18.29188,1616
1678,7B2CDE963911F93596D04C9325284620,38154,9,11,2,109.5266,18.28278,1615
1679,7B2CDE963911F93596D04C9325284620,31811,14,17,3,109.54201,18.31806,1671
1710,1A0300554B3838A02F1EC14AF8F37391,31945,0,7,7,109.58021,18.29403,1817
1711,1A0300554B3838A02F1EC14AF8F37391,30581,9,10,1,109.62257,18.24951,1959
1712,1A0300554B3838A02F1EC14AF8F37391,31221,11,12,1,109.61333,18.26833,1913
1713,1A0300554B3838A02F1EC14AF8F37391,30581,13,15,2,109.62257,18.24951,1959
1714,1A0300554B3838A02F1EC14AF8F37391,30854,16,20,4,109.56889,18.27076,1763
1754,41D4EB5552A7A416EEB26FAA30F55A4B,39183,0,15,15,109.55542,18.28208,1715
1755,41D4EB5552A7A416EEB26FAA30F55A4B,39181,18,20,2,109.55153,18.28035,1715
1756,41D4EB5552A7A416EEB26FAA30F55A4B,39183,21,23,2,109.55542,18.28208,1715
1801,0C8D15C0488D521680F0DE3A28CFE111,31811,0,11,11,109.54201,18.31806,1671
1802,0C8D15C0488D521680F0DE3A28CFE111,30701,11,18,7,109.59313,18.32007,1871
1834,64F4CDF664AA04E7B79DE93C57128CF6,39183,8,10,2,109.55542,18.28208,1715
1835,64F4CDF664AA04E7B79DE93C57128CF6,39181,11,12,1,109.55153,18.28035,1715
1836,64F4CDF664AA04E7B79DE93C57128CF6,39181,14,18,4,109.55153,18.28035,1715
1837,64F4CDF664AA04E7B79DE93C57128CF6,31931,19,20,1,109.54771,18.29403,1667
1874,DE5024DB59D5BF6AE5857A85EB7680EA,31071,0,7,7,109.58257,18.28458,1815
1875,DE5024DB59D5BF6AE5857A85EB7680EA,30854,11,22,11,109.56889,18.27076,1763
1882,5ACB2494699EB2F10AA3427B417842C4,60614,10,11,1,109.48799,18.29521,1467
1883,5ACB2494699EB2F10AA3427B417842C4,39151,15,16,1,109.49875,18.25097,1510
1901,40E7F0D633192F9BEA9F194F24931F67,30854,0,2,2,109.56889,18.27076,1763
1902,40E7F0D633192F9BEA9F194F24931F67,31071,2,9,7,109.58257,18.28458,1815
1903,40E7F0D633192F9BEA9F194F24931F67,30854,11,12,1,109.56889,18.27076,1763
1904,40E7F0D633192F9BEA9F194F24931F67,38111,13,19,6,109.52007,18.22403,1555
1905,40E7F0D633192F9BEA9F194F24931F67,38111,19,23,4,109.52007,18.22403,1555
1906,5BC4B4AAE031D7EDA11762088F9D6C7A,31271,18,20,2,109.48958,18.26257,1462
1907,5BC4B4AAE031D7EDA11762088F9D6C7A,31271,21,23,2,109.48958,18.26257,1462
2009,FACE88BC4E42BD847E718B0C0EE3CB9B,30251,0,8,8,109.50611,18.26653,1512
2010,FACE88BC4E42BD847E718B0C0EE3CB9B,38185,9,23,14,109.51333,18.27347,1563
2058,D59A2A795558AA457F13EDE8D62837D5,31821,0,9,9,109.51181,18.24924,1559
2083,4824E5A5A5B573D071F1BB5C48030BEE,30181,0,12,12,109.51597,18.23313,1557
2084,4824E5A5A5B573D071F1BB5C48030BEE,31521,14,15,1,109.51458,18.22542,1555
2085,4824E5A5A5B573D071F1BB5C48030BEE,31521,16,18,2,109.51458,18.22542,1555
2090,F0F944706382F0443615560FA328E069,38754,12,14,2,109.74667,18.37382,2430
