,Unnamed: 0,id,grid,start_hour,end_hour,duration,lon,lat,gps2id
0,0,2F1CD98DD5F5A4A3E6D47AB706E19DF1,38154,4,6,2,109.5266,18.28278,1615
1,1,2F1CD98DD5F5A4A3E6D47AB706E19DF1,30151,6,15,9,109.50986,18.25083,1560
2,2,2F1CD98DD5F5A4A3E6D47AB706E19DF1,60641,15,17,2,109.53854,18.2359,1657
3,3,2F1CD98DD5F5A4A3E6D47AB706E19DF1,31551,18,19,1,109.55868,18.24222,1708
4,4,2F1CD98DD5F5A4A3E6D47AB706E19DF1,31171,20,21,1,109.50938,18.24917,1559
5,5,2F1CD98DD5F5A4A3E6D47AB706E19DF1,38154,21,22,1,109.5266,18.28278,1615
6,11,8CD2F16F090DFFBF34897CAC847CB1B1,38991,0,8,8,109.52681,18.30368,1618
7,12,8CD2F16F090DFFBF34897CAC847CB1B1,30071,12,13,1,109.52819,18.30472,1619
8,13,8CD2F16F090DFFBF34897CAC847CB1B1,31145,14,16,2,109.20431,18.30479,369
9,14,8CD2F16F090DFFBF34897CAC847CB1B1,38991,19,23,4,109.52681,18.30368,1618
10,62,3BB24F8BCA3E0C99C850EC3AEEBC46A9,31411,19,21,2,109.5016,18.23576,1507
11,74,59F29435D748531F416A4F1636997ECF,31071,0,5,5,109.58257,18.28458,1815
12,75,59F29435D748531F416A4F1636997ECF,30221,7,8,1,109.57833,18.20222,1802
13,76,59F29435D748531F416A4F1636997ECF,30854,12,22,10,109.56889,18.27076,1763
18,94,A8ABE4987042D12DD458C81CFD9663F5,30771,0,15,15,109.49938,18.26042,1511
19,95,A8ABE4987042D12DD458C81CFD9663F5,30971,20,21,1,109.48708,18.29319,1467
20,112,29064106BAD1EF15D718EE782B958C59,30854,16,17,1,109.56889,18.27076,1763
21,113,29064106BAD1EF15D718EE782B958C59,39111,19,23,4,109.5191,18.22597,1555
25,197,066CC6CBB5ADF978A93AF5D0C3292806,60501,13,14,1,109.48701,18.29021,1466
26,198,066CC6CBB5ADF978A93AF5D0C3292806,60031,15,17,2,109.49694,18.31632,1521
27,219,8F33595CCA53EF587ED1CFDC11EABCC3,60381,17,18,1,109.5241,18.22458,1605
28,220,8F33595CCA53EF587ED1CFDC11EABCC3,38251,19,20,1,109.49618,18.25493,1510
32,269,656B9E927798C6351C23CE193C829143,30171,9,20,11,109.48458,18.27139,1463
33,272,D359BF2318E0673A42DA16770C88CC4A,31145,13,15,2,109.20431,18.30479,369
34,273,D359BF2318E0673A42DA16770C88CC4A,31471,16,17,1,109.34583,18.29563,917
35,274,D359BF2318E0673A42DA16770C88CC4A,30341,18,20,2,109.3625,18.29167,966
36,288,90D91A493F9482486DCC3B27CF3F61EE,30854,6,8,2,109.56889,18.27076,1763
37,289,90D91A493F9482486DCC3B27CF3F61EE,31071,11,12,1,109.58257,18.28458,1815
