,Unnamed: 0,id,grid,start_hour,end_hour,duration,lon,lat,gps2id
14,81,68DBE0B52FD0AB95F1DD47068FD7847F,39111,0,6,6,109.5191,18.22597,1555
15,82,68DBE0B52FD0AB95F1DD47068FD7847F,30181,6,12,6,109.51597,18.23313,1557
16,83,68DBE0B52FD0AB95F1DD47068FD7847F,30381,14,16,2,109.52521,18.24507,1609
17,84,68DBE0B52FD0AB95F1DD47068FD7847F,38291,21,22,1,109.51618,18.24313,1558
22,124,22CF7007721E0F1D863F25E4633BE1AD,60311,0,7,7,109.52097,18.24319,1558
23,125,22CF7007721E0F1D863F25E4633BE1AD,31521,12,13,1,109.51458,18.22542,1555
24,126,22CF7007721E0F1D863F25E4633BE1AD,31864,14,15,1,109.49014,18.28333,1465
29,241,222E0B6922623CE9FBB280F81068D40E,38291,1,2,1,109.51618,18.24313,1558
30,242,222E0B6922623CE9FBB280F81068D40E,30571,4,6,2,109.50243,18.21861,1504
31,243,222E0B6922623CE9FBB280F81068D40E,39321,10,23,13,109.529,18.2167,1604
39,304,9BD095517798346F169AD6D898CA1A42,60361,0,12,12,109.51938,18.29681,1567
40,305,9BD095517798346F169AD6D898CA1A42,38154,14,15,1,109.5266,18.28278,1615
41,306,9BD095517798346F169AD6D898CA1A42,60361,18,23,5,109.51938,18.29681,1567
58,553,13104A6A71A054F852B52BB76993ADB2,30851,0,17,17,109.5616,18.27396,1713
59,554,13104A6A71A054F852B52BB76993ADB2,30951,19,20,1,109.56208,18.25667,1761
60,555,13104A6A71A054F852B52BB76993ADB2,30854,21,23,2,109.56889,18.27076,1763
63,578,7803AECF4FFC2BF233E3B7ACD0D2E9F8,39181,0,13,13,109.55153,18.28035,1715
64,579,7803AECF4FFC2BF233E3B7ACD0D2E9F8,39183,15,16,1,109.55542,18.28208,1715
65,580,7803AECF4FFC2BF233E3B7ACD0D2E9F8,39181,18,22,4,109.55153,18.28035,1715
70,795,3D8ADE80304FD3207128013D43F1118A,31861,0,12,12,109.49042,18.27549,1464
71,796,3D8ADE80304FD3207128013D43F1118A,30111,14,16,2,109.47583,18.30542,1419
72,797,3D8ADE80304FD3207128013D43F1118A,60472,17,18,1,109.46625,18.29542,1367
81,916,36BCA39777B9D1E703C1404CDA6A45E7,30511,0,12,12,109.51069,18.24208,1558
82,917,36BCA39777B9D1E703C1404CDA6A45E7,30511,12,14,2,109.51069,18.24208,1558
83,918,36BCA39777B9D1E703C1404CDA6A45E7,30511,16,18,2,109.51069,18.24208,1558
84,919,36BCA39777B9D1E703C1404CDA6A45E7,60081,21,23,2,109.51097,18.22639,1556
85,995,8621CFDF1B89A83351494618C53D033F,31071,0,11,11,109.58257,18.28458,1815
86,996,8621CFDF1B89A83351494618C53D033F,39181,11,14,3,109.55153,18.28035,1715
87,997,8621CFDF1B89A83351494618C53D033F,39181,16,21,5,109.55153,18.28035,1715
88,1059,B76381FBDC68F2B2041DDEC63195F0A7,39181,0,3,3,109.55153,18.28035,1715
89,1060,B76381FBDC68F2B2041DDEC63195F0A7,31931,5,15,10,109.54771,18.29403,1667
90,1061,B76381FBDC68F2B2041DDEC63195F0A7,39181,17,22,5,109.55153,18.28035,1715
91,1092,4D190727D19452A2A511EC780EEEE090,31931,0,1,1,109.54771,18.29403,1667
92,1093,4D190727D19452A2A511EC780EEEE090,30921,1,11,10,109.53903,18.29451,1667
93,1094,4D190727D19452A2A511EC780EEEE090,31931,11,12,1,109.54771,18.29403,1667
94,1131,2191B2AD5C915B8862D4C345F0A13CFB,60351,0,1,1,109.58403,18.28958,1816
95,1132,2191B2AD5C915B8862D4C345F0A13CFB,31071,2,12,10,109.58257,18.28458,1815
96,1133,2191B2AD5C915B8862D4C345F0A13CFB,60351,15,18,3,109.58403,18.28958,1816
97,1199,B95895328C22197B47AD92C8267A3C6A,60371,3,5,2,109.53063,18.30056,1618
98,1200,B95895328C22197B47AD92C8267A3C6A,30921,5,7,2,109.53903,18.29451,1667
99,1201,B95895328C22197B47AD92C8267A3C6A,60171,11,17,6,109.51292,18.30694,1569
100,1202,B95895328C22197B47AD92C8267A3C6A,31931,21,23,2,109.54771,18.29403,1667
115,1390,706B8E0F0F5D1C9FC2F8EBB2574EE89F,30151,0,1,1,109.50986,18.25083,1560
116,1391,706B8E0F0F5D1C9FC2F8EBB2574EE89F,60201,2,6,4,109.5041,18.2509,1510
117,1392,706B8E0F0F5D1C9FC2F8EBB2574EE89F,30711,7,15,8,109.50271,18.25347,1510
118,1393,706B8E0F0F5D1C9FC2F8EBB2574EE89F,30711,18,23,5,109.50271,18.25347,1510
