1796 1798 1598 1497 1594 1596 1594 1597 1597 1597 1647 1647 1544 1547 1598 1445 1395 1390 1390 1390 1391 1893 1393 1385
1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1849 1794 1797 1797 1798 1801 1800 1798 1802 1792
1445 1596 1445 1445 1297 1297 1445 1445 1296 1599 1599 1496 1496 1599 1592 1593 1593 1598 1593 1597 1592 1593 1596 1601
1948 1948 1948 1948 1948 1948 1948 1948 1948 1948 1948 1948 1898 1898 1897 1898 1902 1898 1898 1898 1898 1898 1898 1898
1597 1597 1596 1750 1547 1751 1750 1747 1747 1747 1747 1747 1748 1748 1748 1750 1749 1749 1746 1749 1697 1697 1747 1750
1846 1846 1846 1846 1846 1846 1846 1846 1846 1847 1846 1846 1846 1846 1846 1846 1846 1846 1846 1846 1841 1893 1944 1944
1792 1797 1797 1797 1843 1847 1847 1847 1847 1851 1897 1897 1897 1897 1897 1899 1899 1899 1900 1895 1894 1899 1899 1894
1890 1890 1890 1890 1890 1890 1890 1890 1890 1890 1589 1591 1600 1589 1791 1791 1592 1589 1589 1589 1589 1589 1589 1584
1799 1799 1799 1799 1799 1647 1596 1596 1591 1595 1599 1750 1748 1742 1745 1743 1753 1750 1746 1750 1743 1747 1745 1746
1698 1698 1698 1548 1548 1548 1548 1546 1544 1544 1544 1544 1552 1498 1498 1547 1544 1545 1543 1548 1498 1542 1699 1595
1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1901 1843 1897 1897 1847 1847 1847 1847
1846 1846 1846 1846 1846 1846 1848 1848 1848 1848 1194 1196 1199 1042 1042 1348 1200 1249 1197 34 1200 1199 1199 1196
2199 2199 2199 2199 2192 1596 2195 2195 2195 2199 2199 2199 2297 2300 2297 2297 2297 2297 2297 2297 2297 2297 2297 2297
1901 1897 1897 1897 1897 1897 1897 1897 1897 1897 1850 1847 1847 1847 1847 1847 1847 1847 1649 1648 1648 1648 1648 1647
1847 1647 1647 1647 1647 1647 1647 1642 1698 1700 1699 1699 1696 1697 1701 1699 1697 1697 1701 1693 1698 1698 1693 1697
1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498
1498 1498 1498 1498 1498 1498 1498 1498 1493 1548 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498
1847 1847 1847 1847 1847 1847 1847 1946 1946 1946 1942 1947 1942 1947 1948 1946 1946 1948 1948 1948 1849 1946 1946 1946
1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1498 1598 1598 1598 1598 1598 1594
1745 1746 1748 1746 1747 1747 1747 1747 1747 1747 1747 1747 1747 1747 1748 1749 1745 1749 1747 1747 1745 1751 1747 1746
1651 1651 1646 1646 1644 1646 1647 1647 1646 1651 1650 1649 1647 1899 1647 1643 1647 1647 1647 1645 1648 1645 1645 1648
2047 2047 2047 2047 2047 2047 1999 2048 2048 1997 1998 1998 1998 554 907 1895 1896 1897 1948 1948 1948 1948 1948 1948
1547 1842 1846 1846 1846 1842 1843 1843 1850 1842 1945 1945 1945 1849 1843 1846 1846 1846 1896 1896 1896 1847 1847 1847
1545 1498 1548 1548 1548 1548 1550 1496 1544 1544 1548 1543 1699 1699 1699 1699 1698 1698 1698 1698 1698 1698 1698 1698
1745 1745 1744 1751 1752 1744 1748 1748 1596 1600 1753 1546 1546 1546 1743 1750 1749 1750 1751 1747 1747 1598 1598 1747
2097 2097 2097 2097 2097 2097 2095 2097 2097 2097 2098 2098 2096 2095 2095 2100 2102 2093 2100 2095 2098 2098 2093 2096
2196 2196 2196 2196 2196 2196 2196 2147 2099 2099 2097 2097 2097 2097 2097 2094 2097 2097 2097 2097 2147 2097 2097 2097
2492 2492 2492 2487 2492 2492 2492 2491 2491 2491 2491 2492 2491 2493 2492 2492 2487 2491 2491 2491 2496 2490 2492 1776
1801 1800 1794 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1799 1801 1801 1849 1849 1849 1796 1796 1803
2245 2248 2246 2246 2246 2246 2247 2243 2245 2245 2245 2245 2245 2245 2245 2248 2247 2248 2245 2245 2245 2240 2240 2241
89 2252 2249 2248 2240 2248 2248 2245 2248 2248 2245 2143 2147 2142 1898 1898 1898 1898 1898 1898 1898 2150 1699 1699
1597 1597 1597 1597 1597 1597 1597 1597 1597 1597 1597 1597 1597 1597 1597 1600 2096 2096 1640 1646 1646 1646 1646 1646
646 644 748 2403 2092 2095 2097 2097 2093 1996 1945 2092 2099 2096 2095 2099 2099 2097 2099 2099 2099 2099 2099 2098
1799 1842 1848 1297 1297 1297 1700 1697 1697 1744 1602 1651 1899 1899 1899 1899 1899 1793 1800 1495 1498 1498 1498 1498
2097 2097 2097 2097 2097 2097 2097 2097 2097 2097 2097 2096 1949 2095 2047 2097 2095 2101 2095 2094 2097 2097 2097 2097
1548 1548 1548 1548 1548 1548 1847 1797 1797 1797 1797 1797 1797 1797 1797 1797 1797 1797 1797 1797 1797 1797 1797 1797
1944 1946 1946 1946 1946 1943 1944 1944 1942 1945 1941 1941 1946 1946 1941 1948 1950 1942 1943 1947 1944 1943 1950 1947
1851 1851 1847 1847 1848 1848 1848 1847 1847 1997 1997 1997 1994 1998 1945 1945 1945 1945 1945 1940 1941 1942 1947 1947
1792 1803 1744 1849 1849 1746 2044 2047 2047 2047 2047 2047 2044 2047 2043 2047 2047 2047 2047 2047 2047 2047 2047 2047
1293 1298 1298 1298 1298 1298 202 1297 1297 1297 1297 1297 1297 1297 1350 1498 1498 1498 1595 1699 1544 1547 1543 1547
1998 1998 1998 1998 1995 1996 1996 1994 1995 1999 1999 1993 1991 1848 1949 1944 1944 1944 1946 1946 1948 1946 1944 1944
1647 1647 1698 1698 1698 1698 1698 1698 1698 1698 1698 205 1092 1647 1647 1647 1647 1647 1647 1647 1650 1747 1747 1747
1776 1775 1771 1730 1730 1776 1772 1775 1827 1778 1773 1776 1776 1773 1777 1777 1277 1277 1277 1476 1277 1281 1277 1277
1647 1647 1647 1597 1597 1597 1598 1297 1445 1395 1298 1393 1393 1391 1397 1395 1391 1396 1392 1393 1393 1393 1393 1393
1249 1848 1848 1848 1848 1848 1848 1848 1848 1849 1845 1845 1848 1842 1846 1846 1846 1846 1846 1845 1843 1894 1845 1848
1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1948 1948 1948 1948 1948 1948 1948 1948 1898 1898 1898
1545 1149 1149 1146 1148 1148 1145 1144 1149 1148 1148 1148 1043 1892 1898 1896 1903 1902 1903 1896 1899 1893 1901 1899
1645 1645 1645 1645 1645 1645 1645 1645 1645 1148 1148 1148 1148 1148 1148 1148 1152 1145 1148 1148 1148 1148 1144 1147
2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2197 2194 2193 2197 2195 2198 2197 2198 2198 2198 2198 2194 2197 2192
1897 1897 1897 1897 1897 1851 1847 1847 1847 1847 1847 1847 1847 1847 1847 1847 1999 1847 1847 1847 1943 1901 1893 1497
1094 1088 832 1135 1133 1133 1133 1133 1133 831 836 833 827 1082 1133 1133 1133 1133 1133 846 1133 1133 828 835
2341 2344 2288 2288 2288 2288 2342 2340 2340 2340 2340 2340 2340 2340 2340 2340 2340 2340 2335 2340 1827 1830 1829 1827
1545 1545 1803 1796 1800 1903 1797 1797 1797 1797 1797 1797 1797 1894 1899 1903 1899 1899 1899 1899 1852 1853 1844 1849
1797 1797 1947 1947 1947 1947 1996 1947 1949 1897 1897 1897 1897 1897 1897 1897 1897 1897 1897 1791 1791 1791 1791 1791
393 393 393 393 393 393 393 393 393 393 398 397 397 393 393 393 490 495 494 494 493 493 494 543
843 843 843 843 843 843 843 843 843 843 843 843 193 1445 1445 1699 1445 1445 1445 1445 1445 1393 1292 1442
1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1797 1797 1799 1799 1797 1797 1797 1797 1797 1797
