1701 1693 1697 1697 1697 1697 1697 1697 1697 1697 1700 1695 1698 1699 1647 1647 1647 1647 1701 1697 1697 1692 1697 1695
2491 2491 2492 2489 2488 2487 2493 2489 2488 2492 2490 2487 2395 2395 2395 2395 2395 2486 2491 2491 2490 2486 2491 2495
2097 2097 2097 2097 2097 2097 2097 2097 2097 2047 2100 2093 2099 2097 2097 2097 2097 2097 2097 2097 2097 2097 2097 2098
1546 1546 1546 1546 1546 1546 1546 1546 1546 1546 1546 1546 1546 1544 1544 1544 1544 1543 1541 1546 1546 1546 1546 1542
2097 2097 2097 2097 2097 2097 2097 2097 2097 2097 2097 2097 2097 2096 2096 2049 2049 2049 2049 2049 2049 2093 2097 2099
2297 2297 2297 2197 2196 2196 2196 2196 2196 2196 2196 2196 2196 2196 2196 2196 2196 2199 2297 2297 2297 2297 2196 2196
1894 1894 1894 1894 1894 1894 1894 1846 1846 1846 1846 1898 1894 1894 1894 1894 1894 1894 1894 1894 1894 1894 1894 1896
1647 1647 1647 1647 1647 1647 1647 1647 1647 1650 1747 1747 1747 1747 1747 1747 1647 1648 1642 1647 1647 1646 1642 1646
1047 1047 1047 1047 1146 1248 1248 1147 1144 1148 1148 1146 1146 1146 1146 1146 1146 1146 1146 1147 1150 1144 1147 1149
1897 1897 1897 1897 1897 1897 1897 1900 1892 1896 1901 1299 1299 1299 1299 1299 1299 1299 1897 1897 1897 1897 1897 1896
1547 1547 1547 1547 1547 1547 1551 1544 1551 1551 1498 1498 1498 1498 1498 1498 1550 1547 1547 1547 1547 1547 1547 1543
1476 1476 1476 1476 1476 1476 1476 1476 1277 1277 1277 1277 1277 1277 1277 1277 1277 1277 1478 1476 1476 1476 1478 1480
1445 1445 1445 1445 1445 1445 1445 1445 1445 1445 1445 1445 1445 1442 1440 1297 1297 1297 1297 1444 1446 1445 1445 1442
1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1946 1902 1898 1902 1902 1894 1893 1897
1643 1642 1647 1650 1643 1645 1650 1649 1648 1899 1899 1644 1646 1798 1648 1899 1899 1648 1649 1648 1647 1650 1644 1651
1648 1648 1648 1648 1648 1648 1648 1548 1551 1498 1498 1648 1548 1549 1498 1545 1648 1648 1548 1547 1547 1547 1547 1546
1896 1896 1896 1896 1896 1896 1896 1896 1896 1896 1896 1896 1896 1950 1949 1946 1949 1896 1896 1896 1941 1949 1946 1948
1497 1497 1497 1497 1497 1497 1494 1547 1499 1493 1496 1495 1497 1499 1494 1501 1547 1496 1495 1495 1497 1497 1497 1498
1897 1900 1895 1897 1897 1897 1897 1897 1897 1897 1895 1847 1895 1896 1896 1795 1795 1795 1900 1892 1900 1897 1897 1897
1847 1847 1847 1847 1847 1847 1847 1847 1799 1799 1799 1799 1799 1799 1799 1799 1799 1847 1845 1849 1849 1850 1848 1848
1548 1548 1548 1548 1548 1548 1499 1499 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1495 1498 1498 1498 1495 1500
1948 1948 1948 1948 1948 1948 1594 1898 1898 1898 1898 1595 1948 1948 1898 1898 1898 1898 1601 1599 1599 1599 1603 1602
2096 2095 2197 2197 2197 2099 2099 2093 2348 2093 2097 2095 2095 2097 2097 2097 2097 2097 2097 2101 2046 2099 2097 2099
394 394 394 394 394 544 393 393 393 393 393 393 393 393 393 393 393 393 540 543 543 541 539 543
1046 1046 1046 1046 1294 1047 1047 1295 1297 1248 1248 1300 1297 1301 1296 1297 1301 1248 1295 1293 1297 1296 1292 1293
1747 1747 1798 1946 1946 1946 1946 1946 1801 1801 1799 1801 1846 1846 1798 1849 1849 1797 1797 1801 1795 1797 1797 1795
2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2248 2246 2348 2248 2251 2248 2248 2248 2248 2248 2248 2243
2148 2148 2148 2148 2148 2148 2148 2148 2148 2148 2148 2148 2148 2148 2148 2048 2048 2152 2144 2152 2150 2148 2148 2145
1293 1146 1300 1297 1297 1297 1297 1297 1297 1297 1297 1297 1297 1297 1297 1294 1300 1046 1293 1297 1297 1297 1297 1295
1948 1948 2198 2099 2099 2099 2099 2099 2199 2195 2194 2202 2196 2202 2198 2198 2198 2198 2198 2199 2193 2201 2196 2200
1898 1898 1898 1898 1898 1898 1898 1898 1898 1898 1899 1898 1892 1893 202 202 202 202 1896 1899 1897 1897 1897 1892
1589 1589 1589 1589 1589 1589 1589 1589 1589 1592 1593 1586 1791 1791 1791 1791 1587 1591 1586 1799 1799 1589 1589 1591
1796 1796 1796 1796 1796 1796 1796 1792 1445 1445 1445 1445 1445 1445 1445 1800 1793 1798 1795 1796 1796 1796 1796 1792
843 843 843 545 545 545 545 545 545 545 548 843 843 545 545 545 545 545 545 545 545 541 547 541
1894 1894 1894 1894 1890 1846 1846 1846 1846 1846 1846 1846 1846 1846 1846 1846 1846 1846 1846 1846 1893 1894 1889 1898
1748 1748 1698 1698 1698 1698 1698 1698 1748 1897 1896 1698 1698 1698 1698 1900 1902 1894 1901 1903 1899 1899 1899 1894
